slug,layer,total,ai_in_loop,authority,mutation_by_ai,articulation,score_type,rationale
ai-website-generator-tayyabeh,H2,7.1,8,8,6,6,,"Chat route streams agent output into an in-memory file set mounted and started in a WebContainer; generated files and running app are views of the same set (ai_in_loop 8, authority 8). Subsequent chat regenerates/updates that file set, so the model iterates on existing files (mutation 6). Editor plus running preview constitute a real workspace, but it is in-memory with no server-side projects or recovery (articulation 6)."
ai-website-generator-tony,H2,7.1,9,8,4,7,,"Two-stage loop: Groq first expands the brief with concrete visual decisions, then Groq/HF/OpenRouter generate the final HTML (ai_in_loop 9, authority 8). Saving promotes transient output to one MongoDB snapshot; model does not iterate on the saved project (mutation 4). Brief, enhanced brief, analysis and HTML persist in a durable record with real provider deploy routes (articulation 7); not a version graph."
ai-website-generator-tulsi,H2,5.8,8,6,2,7,,"Gemini emits a validated WebsiteBlueprint (type, theme, sections, colors, content) with retry/normalization (ai_in_loop 8). Fixed Python renderers retain rendering authority, so the model fills content/composition but deterministic code authors the markup (authority 6). No correction loop; compiled HTML and blueprint/prompt persist in MongoDB and disk (mutation 2, articulation 7)."
ai-website-generator-varun,H2,6.0,7,7,6,3,,"Prompt-based generation and edits replace entries in the backend's page map (ai_in_loop 7, authority 7). AI edits do mutate the server-side current map, but the map is process-memory and vanishes on restart (mutation 6, articulation 3); manual editor changes live in component state with no merge/save protocol and preview is the only end of the loop."
ai-workflow-automation-vmk,H2,3.9,5,2,2,7,,"The product is a human-authored DAG executed by a real multi-handler runtime; a local Qwen LLM call is one node type producing outputs inside runs (ai_in_loop 5). The AI does not design or mutate the workflow graph (authority 2, mutation 2). PostgreSQL persists workflows/nodes/edges/runs/per-node executions durably (articulation 7)."
ai-workflow-builder-anshii,H2,4.1,5,2,2,8,,"Workflow authoring is human composition of typed steps/triggers; an LLM step executes within runs but does not take design decisions (ai_in_loop 5). AI neither creates nor edits the workflow (authority 2, mutation 2). Nhost relational rows for workflows, steps, triggers and runs with tenant RBAC and approval gates are durable and govern execution (articulation 8)."
ai-workflow-builder-fuleinist,H2,3.2,4,2,2,5,,"The record translates a human-drawn DAG into LangChain/OpenAI Python or AI SDK TypeScript; models are only invoked when the generated code runs, so the model loop belongs to generated programs, not the record's own design loop (ai_in_loop 4, authority 2, mutation 2). Generated source is the executable artifact and exports are real, but the DAG lives in an ephemeral client store with no durable project repo (articulation 5)."
ai-workflow-builder-nids12,H2,3.5,5,2,2,5,,"Real graph-to-Gemini loop: the backend sends query plus document to Gemini and returns the answer (ai_in_loop 5). The graph is human-composed and the runtime ignores edges and per-node dispatch, so the AI does not design or mutate the workflow (authority 2, mutation 2). Durability is JSON import/export; PostgreSQL stores document metadata, not the graph (articulation 5)."
ai-workflow-builder-sanket-hatti,H2,4.1,5,2,2,8,,"Executor reloads a human-authored ordered workflow and calls Groq for LLM nodes, performing HTTP/DB/notification actions and persisting outputs (ai_in_loop 5). The AI does not author or edit the workflow (authority 2, mutation 2). Workflow_steps, step_runs, trigger approval and membership/quota checks are durable server-backed records that the runtime consumes (articulation 8)."
ai-workflow-builder-sneha-chaurasia,H2,5.6,7,6,3,6,,"Groq's Llama returns a strict workflow name/trigger/step schema that is rendered and then materialized into n8n via its API (ai_in_loop 7, authority 6 — model authors the workflow structure). It posts a new workflow rather than editing existing ones (mutation 3). The delivered n8n object is visible/durable, but every action is a noOp node with notes only, so executability and runtime evidence remain delegated to n8n (articulation 6)."
ai-workflow-builder-subham-mohanta,H2,4.1,5,2,2,8,,"A governed ordered-step console where humans configure steps; Gemini is invoked for the LLM step but with a hard-coded test prompt, so model design authority is minimal (ai_in_loop 5, authority 2, mutation 2). Hasura-backed workflows, ordered steps, persistent runs and approval resume are durable and tenant-scoped (articulation 8); several action types remain simulated."
ai-workflow-builder-toobahasnain,H2,4.7,7,6,2,3,,"Gemini proposes a six-line plan graph (trigger/action/output) parsed into connected React Flow nodes (ai_in_loop 7, authority 6). Human users move/delete/edit nodes; the AI does not edit its own plan (mutation 2). Plan exists only in client state with no save/load/export, and edges do not drive execution (articulation 3)."
ai-workflow-builder-upinder28,H2,4.1,5,2,2,8,,"Human-composed ordered workflow triggers real Groq or HTTP calls and approval gates pause/resume runs (ai_in_loop 5). The AI neither designs nor mutates the workflow (authority 2, mutation 2). Hasura GraphQL persists workflows, ordered steps, triggers, runs and per-step status with quota/role governance (articulation 8); branch semantics and some effects are synthetic."
ai-workflow-demilade,H2,3.9,5,2,2,7,,"Saved blocks/connections are consumed by the execute route, which invokes the Vercel AI SDK for supported block types (ai_in_loop 5). AI chat can describe suggested workflow JSON but does not parse into the canvas, so AI never designs or edits the graph (authority 2, mutation 2). Workflows, blocks, connections, runs and per-block outcomes are persisted durably (articulation 7)."
ai-workflow-tim-wijma,H2,3.9,5,2,2,7,,"Vue Flow editor writes relational records consumed by FastAPI, which performs HTTP/LiteLLM calls following the first outgoing connection (ai_in_loop 5). The AI executes within a human-authored linear path and never edits the graph (authority 2, mutation 2). Flows, steps and connections persist and runs return collected outputs, though step-level history is not persisted (articulation 7)."
ai2ui-component-generator,H2,6.2,8,7,5,4,,"The model streams implementation markup into the conversation and can be prompted again with history, plus a second model call translates accepted HTML to another framework (ai_in_loop 8, authority 7). AI iterates on the conversational artifact and re-processes it for export, but not on a persistent project (mutation 5). No durable store or version graph; rendered component is a projection of in-browser source (articulation 4); historical since 2024."
aidemyst-agentstudio,H2,4.6,6,2,2,9,,"Saved node/edge configuration compiles into a LangGraph StateGraph with LLM/RAG/MCP/decision handlers and nested-workflow composition, so models run and their outputs drive execution (ai_in_loop 6). Agents/workflows are human-authored; the AI executes within them and does not edit the graph (authority 2, mutation 2). PostgreSQL models, versions, deployments and execution logs plus voice/WhatsApp entry points make the artifact fully operational and durable (articulation 9)."
aihouse,H2,6.5,7,6,5,8,,"AI Layout generates multiple furniture layouts from room+constraints and AI rendering/style transfer projects the design; user selects and manually edits, so AI participates strongly in layout decisions but human gates. Mutation limited: AI produces candidate layouts and style renders into the editable project, regeneration/iteration exists but not deep repair of the spatial graph. Articulation high: canonical editable 3D room graph feeding CAD/BOM/quote and manufacturing."
ainaming,H2,4.6,5,4,2,8,,"Model classifies and suggests suffix-only key segments, but human confirms feature/screen anchors, reviews, edits or skips; deterministic validation and dictionary bypass constrain the model. AI authority low: anchors are human-provided and model cannot choose the whole key. AI never mutates: rename only on UI apply message for a reviewed key. Articulation strong: native Figma text node names plus a file-local common-key dictionary."
aionui,H2,6.7,7,6,6,8,,"Built-in assistants create presentations/documents/spreadsheets/images/web artifacts from briefs in hosted agent sessions; native PPTX mutation lives in the separate OfficeCLI record. AI writes workspace artifacts and workspace files remain authoritative with history and direct HTML/code editing, so AI can revise existing workspace content. Articulation strong: durable workspace files with workspaceHistory and live preview routing."
aios,H2,2.2,1,1,1,7,,"No model call in the authored record: simulation and deployment advance via setTimeout/timed modal stages and never post nodes to a backend; the backend orchestrator is adjacent and not connected to the canvas. All canvas authoring is human. No AI mutation exists. Articulation decent: a genuine user-controlled graph artifact with JSON import/export and localStorage save, but runtime is a demo."
aispirit-agent,H2,3.5,3,2,2,8,,"Agent workspace where a human-built graph compiles into an event-driven runtime; no direct evidence of model calls or AI design decisions in the record, workflows execute under it. Graph authoring is human; runtime executes. No evidence AI edits persistent work. Articulation strong: serialized graph models, compiler-projected runtime objects, sqlite event store with checkpoints and WAL."
aiwebgenerator-kuroda,H2,7.8,8,7,8,8,,Core loop streams through the AI SDK provider and persists every response as a new versioned file in a branching graph; model corrections revise existing files. AI turns prompts into complete HTML documents; user edits via Monaco join the same graph. Mutation strong: model corrections and version links on existing files in IndexedDB. Articulation strong: projects/files/versions/messages/model credentials and reusable rules are explicit versioned records.
akcli,H2,2.5,1,1,2,7,,"Zero-dependency deterministic CLI engine: no model call of its own; it is a mechanism that an external AI or human uses to plan op-lists that edit .kicad_sch. Creation authority belongs to the caller. The tool itself can structurally mutate persistent schematics when invoked, but no record-owned AI. Articulation strong: versioned JSON op-lists, diffs, SARIF, SVG, atomic writes, backups and undo over a normalized model."
akn-website-generator,H2,6.4,7,7,6,5,,"OVHcloud models generate and revise one complete HTML document; prompt refinement requests a replacement document from the server, and manual edits are promoted back into the transcript. AI authority high for a single-file site. Mutation exists via refinement of the existing document but is a linear replace with no branch/diff/restore. Articulation moderate: localStorage transcript is recoverable source trail, not named projects or a version graph."
ako-visual-design-agent,H2,2.5,1,2,1,7,,"Pinned implementation calls no language or image model; Perceptor/Planner/Reviewer run fixed deterministic matrices and template selection, so the core loop has no model. Creation is automated but rules-based, not AI. No AI mutation. Articulation good: multi-resolution icons, theme JSON, proposal/report JSON/Markdown with trace ID, approval record and design-decision log are durable artifacts."
algocraft,H2,6.6,8,6,6,6,,"Chat route streams AI SDK output that plans write/rename/delete/install operations on the WebContainer project; the model is the project's main driver. Human approval gates every operation batch, capping authority. AI mutates existing files once approved (ordered execution), but undo is session-local and incomplete. Articulation moderate: WebContainer files are the live authority but reload discards version array and durability needs export."
alice-sdf,H2,3.5,2,2,3,8,,"LLM-facing text-to-3D server and SDF runtime: design decisions come from the calling LLM; the server translates requests into scene operations and the kernel is deterministic. Per the rule for engines enabling an external agent, ai_in_loop and authority cap at 2. The record CAN create/edit persistent SDF programs when called. Articulation strong: compiled SDF instructions/constraints remain evaluable across GPU, browser and host bindings with mesh export."
alwaysblue,H2,6.5,7,6,6,7,,"Reasoning selects and reasons over component material and creator drives generated website creation; model output is persisted as Django objects with stored HTML. AI assembles pages from component material. Remix reconnects existing output to editing/regeneration, a real correction path. Articulation strong: persisted website-generation records, images, preview editor and generated-site corpus."
amaroad,H2,3.5,2,2,4,7,,"Browser is deliberately view-only; an external coding agent edits MDX source, so the model loop belongs to the caller while the record supplies deck rules via bundled skills. Creation by external agent. Mutation medium: the platform is explicitly designed for agents to continually edit MDX source with hot reload, but the AI is external. Articulation strong: per-slide MDX modules are the durable editable authority with PDF/PPTX as exports."
ams-io-agent,H2,6.6,8,6,6,6,,"Multi-provider agents plan pad topology and tool actions and generate Cadence SKILL for IO-ring layout; the record itself orchestrates the model loop. AI produces layout plans/SKILL but requires a licensed Virtuoso/PDK environment to execute, and golden cases prove orchestration rather than production sign-off. Mutation via generated SKILL into Cadence objects is evidenced in benchmarks. Articulation good: io_ring_intent_graph.json is a replayable design contract plus generated SKILL and verification reports."
anima,H2,7.8,8,7,8,8,,"Scored from public contracts: p2c/l2c/f2c generation jobs turn prompts/images/URLs/Figma into a sessionId-addressed internal Git artifact; chat and agent Git clone-push edit existing artifacts, with version history, restore and duplicate. AI makes the core design decisions for artifact creation. Mutation strong: agents add/modify/delete files via chat or short-lived Git push into the live artifact. Articulation strong: Git-backed code authority, preview, version history and deployment are durable."
aniya-studio,H2,6.8,7,6,7,7,,"Agent mode revises a selected DOM element through natural language with the selected tag/text/styles/CSS path as bounded target; the agent is the deck creator and patch engine. AI writes full HTML decks and patches elements. Mutation strong: selected-DOM agent edits existing HTML with end-to-end tested version saves and restores, while GrapesJS direct edits serialize back into the same source. Articulation strong: original HTML is the durable authority with named versions."
anti-ai-design,H2,3.5,2,2,3,8,,"Skill that an external agent executes: the record carries no own model call, it resolves platform/brand direction and orchestrates the bundle writer, so loop and authority belong to the caller (cap 2). Dedicated expansion path lets later changes pass through instead of regenerating, an AI-driven modification route. Articulation strong: CJX-ready multi-file HTML/CSS/JS bundle with foundation.css as token authority and asset ownership records."
antv-infographic,H2,3.0,2,2,2,7,,"Core library is deterministic once syntax/options arrive; AI generation happens through first-party skills and a host agent, so the record's own AI is absent (enabler cap 2). Editing is human-driven via the embedded editor; no evidence the library's own AI mutates. Articulation good: structured infographic options/syntax are the durable embeddable state with editable structured SVG and command history (in-memory only)."
apo,H2,6.7,8,7,7,4,,"Model runs a tool loop over a bounded canvas summary and can read/inspect, draw native Excalidraw structures or patch elements by ID; the client materializes structured events into the live scene. AI creates structured DAGs/diagrams from prompt. Mutation strong: model merges, updates, connects and removes existing elements. Articulation weak: the scene is React/client session state with no durable board save, versioning or auth at the pinned revision."
app-club-design,H2,6.4,7,6,7,5,,"Server design-agent tool contract streams AI outputs that add or update screen nodes in shared project state on an infinite canvas; continuing prompts correct earlier screens. AI generates screens from prompts. Mutation strong: tool results add/update existing screen state rather than replacing with one flattened answer. Articulation moderate: project screen-node state is the authority, but no persistence/versioning evidence is given."
app-store-screenshots,H2,3.5,2,2,3,8,,"Coding-agent skill that scaffolds a Next.js editor; the model call belongs to the external agent (enabler cap 2). Agent prefill is one-time scaffolding while visual refinement is user-owned. Mutation limited: the editor and JSON let AI-related changes persist back to disk via /api/project, but continuing AI edit is external. Articulation strong: app-store-screenshots.json plus content-addressed assets on disk are the authoritative durable workspace with schema migrations."
appautomaton-presentation,H2,3.3,2,2,3,7,,"Four-skill suite (consultant, brand, PDF, PPT) run by an external agent; no own model call, loop and authority cap at 2. Skills define how the agent iterates storyboard/brand into deliverables. Articulation good: storyboard, brand-brief.md and identity.js are durable cross-renderer inputs and PPTX is an editable native graph."
appfromai,H2,6.0,7,6,4,7,,"Selected provider returns a constrained module which is normalized into a canonical shape, validated and rendered through the product's native runtime; provider choice does not change the artifact contract. AI creates the module. Mutation weak-medium: style edits are user-driven patches back into the same tree; AI regeneration produces a new module rather than iterating the old one. Articulation strong: modules persist on device as structured state with permission-gated runtime."
appiav2,H2,6.8,7,6,7,7,,"Retains Bolt's structured artifact/file-action protocol for AI generation into a WebContainer project; AI SDK drives generation and correction. AI produces multi-file apps with user inspection/editing. Mutation strong: file actions create/update project files across sessions and builds restore saved projects. Articulation strong: project code file maps and chat history persist in PostgreSQL, plus Vercel/Expo delivery, though no immutable version graph."
appmaker,H2,6.1,7,6,6,5,,"Model generates one self-contained HTML document and prompt refinement replaces it in the durable Supabase row. AI creates the whole app file. Mutation good: refinement edits the existing current document. Articulation moderate: durable current state with iframe/copy/download exits, but iteration history is audit-only with no code snapshots, so no version control."
archgen,H2,4.0,4,4,3,5,,"Early-access product claim: natural-language requirements become a feature/constraint-bearing parametric model with physics/DFM checks, but no source, benchmarks or solver internals are public; unproven dimensions kept low. Authority is claimed text-to-parametric-model. Iteration via prompt changes is claimed but not verified. Articulation medium: claimed parametric CAD model exported to STEP/IGES/STL/native formats, not source-inspected."
archie-ea,H2,6.0,7,5,4,8,,AI path analyzes the application-portfolio model and formulates candidate architectures or recommendations; models clearly drive proposal generation. Authority gated: proposals enter Architecture Review Board workflows rather than overwriting approved state. Mutation limited: AI does not silently write; changes flow through human review. Articulation strong: applications/capabilities/dependencies and governance metadata are first-class durable records and diagrams are views.
archiflow,H2,6.5,7,6,6,7,,"OpenAI-backed routes generate an architecture, reconstruct one from an image, repair invalid structure, explain and populate descriptions; the model is the authoring engine for the WAM graph. AI materializes graph content into the editor. Mutation good: the repair route edits invalid structure and regeneration inserts graph material. Articulation strong: WAM graph persisted behind authenticated projects in MongoDB with editable routed edges and validation."
archify,H2,3.5,2,2,3,8,,"Skill contract for an external agent to author typed semantic JSON; no own model call, so loop and authority cap at 2. Delta artifacts make architectural change reviewable, an AI-driven revision route executed by the caller. Articulation strong: semantic IR is validated before multi-surface delivery (HTML/PNG/SVG/WebM/cards), with delta and visual-check artifacts as durable records."
archigen,H2,6.1,7,6,5,6,,"Model produces constrained JSON of components/connections that is parsed into node/edge objects and projected onto an editable canvas; brief-to-graph control path is the core loop. AI creates the graph from a brief. Mutation medium: validation/fallback sits between model and canvas; user repositions afterwards and regeneration can revise, but no evidence of deep AI iteration on existing graphs. Articulation good: the editable graph is the working authority with rendered diagram as a view."
archischema,H2,6.2,6,5,6,8,,"AI is a mutation route into a typed schema graph in a Rust/Leptos app; AI actions are converted into graph operations subject to the same constraints as direct manipulation. Authority is shared with human editing of the schema. Mutation good: AI operations alter tables/columns/keys/relationships in the persistent model, human-inspectable. Articulation strong: schema graph, SQL DDL mode, CRDT LiveShare and snapshots provide mergeable durable state."
architechtures,H2,5.7,6,5,5,7,,Auto mode uses parameters and generative assistance to create or regenerate building/floor/parking/site layouts in a hosted BIM project; the AI drives variant creation. Human manual mode and readonly mode gate authority; AI assistance is one of three modes. Mutation medium: regenerate parameterized solutions updates the same project with invalidation rules for stale exports. Articulation strong: navigable 3D BIM model with linked analytical metrics and IFC/DXF/XLSX delivery.
architect-studio-x,H2,6.8,8,6,5,8,,"AI composes typed multi-mutation plans over the ArchitectureGraph from intent; dry-run with deterministic validation and impact comparison precedes approval. Authority gated: human approval is required before the atomic executor applies any plan, so AI has proposal not write authority. Mutation medium: approved plans apply to the persistent graph but are fully human-gated. Articulation strong: graph snapshots, actor-labelled event stream, ADR drafts and workspace persistence (localStorage)."
architecture-drawio-automation,H2,3.3,2,2,3,7,,"Raw MCP server exposing thirteen operations over draw.io mxGraph XML: it enables an external agent, so loop and authority cap at 2. The server itself implements real mutation of persistent .drawio XML when invoked. Articulation good: .drawio XML files remain the durable source-control-friendly native artifact with verifier/parser tests guarding output."
archon-workflows,H2,3.8,3,2,4,7,,"Workflow control plane that coordinates AI coding agents: it runs nodes in isolated worktrees with gates and artifacts but itself holds no model loop for design decisions; agents under it do the creative work. Authority belongs to the governed agents. Mutation medium: the plane semantically manages agent-driven repository changes with isolation, events and resume paths. Articulation strong: YAML workflow definitions, event records, logs and artifact summaries are durable editable state."
archondev,H2,3.6,3,2,3,7,,"Packaged extension/CLI governing external AI coding agents: DESIGN.md is the declared visual source of truth and headless-browser QA gates changes, but intelligence is the agents'; architecture-level evidence only (VSIX, no unpacked source). Authority is the agents'. Mutation via checkpoints/ship pipeline is agent-executed. Articulation good: DESIGN.md, truth-layer file, checkpoints, changelog and PR records are durable documented artifacts."
arckit,H2,3.5,2,2,3,8,,"Plugin/skill suite for an external agent to produce architecture artifacts; no own model call, so loop and authority cap at 2. Commands and hooks route creation and stale-artifact warnings through the agent. Articulation strong: numbered Markdown artifacts linked by identifiers and review states over Git, with Mermaid/PlantUML diagrams and OKF import/export preserving provenance."
argus-sammy,H2,6.8,7,6,7,7,,"URL/screenshot/prompt-to-React generation with sandbox preview; AI streamed changes and visual-editor changes produce next builds in a durable build lineage. AI creates apps and iterates on existing builds. Mutation strong: builds resume sandboxes, apply AI changes and record version history. Articulation strong: persisted projects/builds/messages in the API, deployment history with rollback as a second ledger."
artifex-ui-generator,H2,5.9,7,6,5,5,,"Four Gemini roles plan/generate/validate/explain components with explicit mock-mode provenance when the model is unavailable; generation is model-driven. AI produces component code. Mutation medium: browser history loads generated states back into the editor and manual changes affect current source, but no account-backed server versioning or archive. Articulation moderate: current source in editor with Babel-compiled live preview and copy/download."
artiso,H2,5.3,6,5,4,6,,"Agentic AI expands moodboard and concept candidates across the collection lifecycle; the AI's role is candidate generation. Designers decide which direction becomes CAD/tech pack, so authority is human-gated. No public evidence AI edits technical artifacts directly. Articulation medium: collection workflow links moodboards, designs, prints, CADs and technical packs, but the data model and transfer semantics are not public."
asciitecture,H2,2.0,1,1,1,6,,"No model call: humans arrange components into ASCII scenes and export Markdown as context for an external coding agent; the AI-native boundary is a documented handoff contract only. All creation is manual. No AI mutation. Articulation moderate: ASCII scene in local browser state with localStorage autosave and Markdown export, no backend or Git integration."
astron-rpa,H2,5.4,5,4,5,8,,"Astron Agent assists composing RPA workflows from a 300+ deterministic activity catalog and can invoke/trigger flows via conversational and MCP interfaces; AI helps design workflows over concrete capabilities. The editor owns ordering/branches/loops, so authority is shared. Mutation good: agent-designed flows are editable and debuggable after generation. Articulation strong: durable workflow definitions with step execution, logs, breakpoints and packaged deployment."
atlas-3d-design,H2,2.9,2,2,3,5,,"Agent team/skill pack executed by an external agent: no own model call in the record, loop and authority cap at 2. Skills direct 3D work inside Blender/Unity/Omniverse/VRoid, but mutation is agent-performed. Articulation moderate: host-native files remain authoritative and there is no independent scene runtime or cross-host persistence; team log records tool use."
atlas-design-ux,H2,2.7,2,2,3,4,,"Agent team/skill pack for external agents: no own model call, loop and authority cap at 2. Skills specify research, UX, UI, wireframing and prototyping to be executed in external hosts. Articulation weak: Figma/Sketch/XD/code artifacts stay in external hosts; Atlas supplies only the operating contract, commands and a local team log/audit trail."
atomic-component-generator,H2,6,7,6,4,8,,"Prompt-to-component Figma plugin: its core contract is model-driven generation of a UI component inside Figma. Architecture-level only, no public source: property/variant/auto-layout construction and whether generation modifies existing components are unproven, so authority is capped and mutation is weak. Generated component is an editable Figma artifact (articulation high)."
atv-design,H2,7,8,7,6,9,,"Desktop agent product with own Copilot OAuth+PKCE model path; user requests prototypes/decks/docs and the agent creates HTML/JSX/PPTX/PDF beside DESIGN.md. Model-driven loop with workspace-attached session history. AI creates artifacts from intent, iterates on prior workspace state (moderate evidence), and output is durable editable files on disk (high articulation)."
aura-ai-workflow-builder,H2,4,6,3,2,7,,"Backend LLM/agent nodes do call Gemini when configured (own loop inside node execution), but the design authority is the human-drawn LiteGraph graph; AI only fills node execution. No evidence AI edits the persisted graph JSON; mock fallback means observed runs may be simulated. JSON persistence is durable and editable."
aurelius,H2,8,9,8,8,8,,"Gated design-to-code pipeline: Figma/intent becomes spec+token lock, tests before implementation, up to five visual-diff iterations and repair against the running app. Core loop is model-driven design decision-making; AI creates the implementation and iteratively repairs it against the design. Repository source and token lock are authoritative, durable artifacts."
auricide,H2,8,8,8,9,9,,"Agent-orchestrated project IDE: conductor runs real CLI agents that change SQLite project-management state and filesystem artifacts (Markdown, Mermaid, Obsidian canvas, Excalidraw) with structured satisfaction gating. AI agents make and act on design decisions and directly mutate persistent work. Durable via SQLite, files and Git."
auteur,H2,4,2,2,4,8,,"Skill/workflow mechanism (SKILL.md + scripts) executed by an external agent: the model loop belongs to the caller, so ai_in_loop and authority are capped at 2. The workflow guides writing site source and gate/repair steps, and output is durable repository artifacts (site source, retained design evidence)."
author-autograph,H2,7,8,7,5,8,,"Document-native visual: generation route calls Anthropic to produce a tldraw snapshot embedded as an atomic TipTap node with bounded manuscript context; application code validates and owns the scene contract. AI creates a new diagram per request; no evidence AI edits existing diagrams (mutation moderate). Artifact is durable TipTap JSON saved to Convex, editable in place."
auto-slides,H2,9,9,8,9,9,,"Complete model-driven paper-to-presentation pipeline: content extraction, presentation-plan JSON, LaTeX generation, compile validation with repair loop writing back to source, and revision generator consuming previous plan+TeX+feedback. Mutates the persistent LaTeX/plan authority directly. Highly durable editable artifacts."
autockt,H2,7,8,7,7,6,,"RL policy is the record's own model loop: it chooses analog-device parameter moves that change the authoritative parameter vector, with SPICE reward closing the loop. AI directly mutates the persistent design state across iterations. Research code: YAML specs/netlists are durable but no user-facing versioning; no production canvas."
autodesk-flow-studio,H2,8,9,8,7,9,,Closed commercial product scored from public contracts: AI reconstructs editable 3D scenes/characters/worlds/camera from footage/text/image and renders cinematic shots; users retain editable camera/plates/passes. Mutation within the 3D editor is strong; no established round trip from downstream DCC back. Structured USD exports and editable scene are durable.
autogpt,H2,7,7,6,6,8,,"Platform with AutoPilot drafting agents from an outcome, returning to the same visual builder; graph store and draft service separate edits from persisted versions. AI makes design decisions about agent graphs and persists/versions them, but humans correct in the builder (authority mid). Versioned graph artifacts are durable."
awesome-design-extractor,H2,3,2,2,3,8,,"Evidence-backed agent workflow (skill) executed by an external agent: model loop belongs to the caller, capping ai_in_loop and authority at 2. Output DESIGN.md + preview catalog plus QA is durable, but mutation is limited (no write-back; preview corrections by host agent)."
aws-deploy-on-aws,H2,3,2,2,2,6,,"Skill inside the Deploy on AWS plugin: a mechanism an external agent executes (model capability belongs to the caller), so ai_in_loop and authority are capped at 2. Guides writing of a validated, editable .drawio into docs/; durable XML artifact but mutation is performed by the host agent."
ayushi-ai,H2,7,8,8,4,7,,"Own backend calls Gemini to return complete HTML pages; browser holds the document and direct human correction is supported. Model-driven generation with high authority. AI output is effectively one-shot (no evidence of AI editing existing documents), and persistence has no project/version graph; download/publish give durable HTML."
baidu-comate,H1,9,9,8,9,9,,AI IDE whose core loop is model-driven design-to-code and element editing: Figma/Lanhu selections become Agent-written workspace code; direct AST rewrite for style/text with Agent validation; checkpoints and Git recovery. AI mutates persistent workspace files deeply and durably. Closed source penalized only where unprovable; each contract is inspected from bundled artifacts.
bambu-studio-ai,H2,4,2,2,4,8,,"Agent skill (SKILL.md) executed by an external agent: the model loop belongs to the caller, capping ai_in_loop and authority at 2. Workflow covers generation/search, printability analysis, repaired/scaled file saves and slicer/print handoff; durable mesh/print artifacts, mutation by host agent."
baoyu-design,H2,4,2,2,4,8,,"Agent skill pack with its own executable scripts (asset-store, compile, build-preview) run by an external agent's model; ai_in_loop and authority capped at 2. The record's scripts mutate a durable artifact directory with asset-version registry, compiled design systems and exports; 91 tests passed."
behavr,H2,5,8,5,1,6,,"Closed product: simulated-user usability testing with its own agent loop navigating a Figma prototype and producing traces/heatmaps/findings. AI decides how to navigate and what to flag but does not author the design (authority mid) and never rewrites the Figma file (no mutation evidence). Study results are retained but internals (schema, storage) undisclosed."
better-design,H2,3,2,2,3,6,,"Hosted MCP selection/review service plus open shadcn-compatible registry: the record is a mechanism another AI uses and the MCP implementation is not in the repo, so ai_in_loop and authority are capped at 2. Registry tokens/components are durable and versioned; source writing is done by the calling agent."
better-web-ui,H2,3,2,2,3,6,,"Frontend skill library executed by an external agent (mechanism): ai_in_loop and authority capped at 2. add-ui mutates host source and critique/audit produce evidence, but all mutation is performed by the calling agent. Durable output is the user's existing project source."
bezi,H2,8,8,7,8,8,,"Project-aware AI agent inside Unity with its own model loop: indexes the Unity project, generates/modifies scripts, shaders, editor tools and scene operations, proposing inspectable diffs with restoration. AI directly mutates the persistent Unity project. Architecture-level; mutation APIs latency and restoration granularity undisclosed."
bigbangdev,H2,8,8,8,7,8,,"LangGraph pipeline with model calls in backend: architecture, file writing, QA and deployment steps with events streamed to a React control surface. AI writes app files into the workspace and failed checks route back to the developer node for rework (iteration). Workspace files are the durable authority."
bitfun,H2,7,8,7,7,7,,"General desktop coding agent with its own model loop that can materialize Agentic Mini Apps (interactive canvas UIs bound to session/runtime state) and has filesystem/Git authority. AI creates and edits files/runtime; canvas app source loads into the desktop shell. Durable via files, Git and canvas runtime."
blade,H2,3,2,2,3,7,,"Design-system governance product whose blade-mcp, plugins and token workflows are mechanisms for external agents; the record itself contains no model loop, so ai_in_loop and authority are capped at 2. Durable design-system packages, tokens and governance artifacts; code/scaffold generation executed by callers."
blender-orchestrator,H2,4,2,2,6,7,,"MCP server + Blender addon: a mechanism another AI uses (ai_in_loop and authority capped at 2). But the tool surface enables deep mutation of the live Blender scene graph (relations, collisions, moves, renders) through the MCP tools, and the .blend scene is the durable authority."
blender-scene-agent,H2,8,8,7,8,8,,Deployable agent with its own Azure-hosted reasoning layer operating a containerized headless Blender scene across chat/Teams/voice; per-VM state saves and restores the scene. AI builds and edits the canonical .blend across sessions and idle resumes. Durable native scene authority.
blockout,H2,4,2,2,6,8,,"Desktop pre-visualization app plus MCP bridge: the app itself is human-driven and the record contains no model loop, so ai_in_loop and authority are capped at 2. MCP tools let an agent stage, choreograph, reframe, scrub and capture the same project, i.e., deep mutation of the running project; versionable project JSON is durable."
bloxai,H2,4,5,3,1,7,,"Record's own Gemini call reads a persisted Excalidraw board and returns explanation inside the workspace; it does not generate or edit the board (Mermaid-to-Excalidraw route is commented out). AI participates as an interpretation layer, not a design decision-maker; mutation is human-only. Excalidraw content is durable via Convex."
bluelens,H2,6,7,5,4,8,,"Own tool-calling assistant traverses diagrams and CodeGraph to explain flows, and proposes code/diagram drift synchronization as diffs. AI informs design reasoning but does not create diagrams or auto-resolve mismatches (authority and mutation mid-low). Mermaid source + .blueprint workspace are durable, editable authorities."
bluestone-ai-jewelry-prototype,H2,5,7,6,2,5,,"PDP generates jewelry imagery directly via Vertex AI from a shopper prompt with explicit approval. AI authors the image proposal (authority mid); output is one-shot with no editing of existing work. Approved prompt/image is retained into local prototype order state, but production persistence is lacking."
