slug,total,authority,mutation,artifact,human_loop,delivery,rationale
ai-ui-components-generator-thegreatbonnie,4.2,7,3,4,4,3,"A Copilot action generates Tailwind component code and installs it as the current artifact rendered live and editable in Ace, evidencing AI authority over a session-level shared code string. The model previous strings are accumulated but there is no promotion/recovery protocol, and manual source edits (not AI mutation) change the visual projection, so mutation is capped. No project persistence, export or repository writeback exists, making delivery a visible in-page component only."
drawio-mcp,6.2,5,7,7,6,6,"Draw.io MCP converges four surfaces on editable draw.io XML with a committed shape index and exact style strings, so a coding agent authors and iterates diagrams inside the native graph rather than receiving images. Auto-layout and edge routing modify the editable graph and plugins write .drawio files with PNG/SVG/PDF exports, evidencing strong mutation of a durable artifact. The product is fundamentally an agent interface into draw.io, so authority over design content belongs to the calling agent and is scored as bridge-level."
datengcad,4.6,3,2,8,3,7,"大腾智能 CAD's AI role is historical-part retrieval and knowledge-graph structural optimization suggestions while the engineer continues editing the CAD model, so AI advises rather than authors or mutates the parametric design. The native model (sketches, features, parts, assemblies, drawings from proprietary kernels) plus integrated PDM with versions, permissions and approvals is a highly durable authoritative artifact. Delivery reaches manufacturing drawings and PDM release state, but the loop is engineer-led with kernel validation and approval, keeping authority, mutation and human_loop low."
dcc-mcp-mari,5.8,4,7,7,5,6,"DCC-MCP Mari's Qt timer executes bounded Mari API commands so host-side tools like create_node and create_layer operate the native node graph, giving an external agent direct, mutation-safe control over the saved Mari project. It is a production host adapter: the saved Mari project remains authoritative and exported textures are derived delivery, so authority over design content sits with the agent but the product is bridge infrastructure. Delivery is texture export from a live Mari process, which also caps human_loop since mutations require the running host."
agent-native-design,8.2,9,8,8,8,8,"Agent-Native Design's template defines concrete actions for creating designs, applying visual/source/token edits, branching, quality fixes and coding-handoff export, so the agent authors complete Alpine/Tailwind prototypes and mutates the same prototype state from UI or agent surfaces. Branches make alternatives explicit and editor-bridge hit-testing carries source locations back to visual edits, evidencing direct iterative mutation of a durable SQL-recorded plus standalone-HTML artifact. Human approval/audit comes from the framework and delivery spans HTML/ZIP/PDF/Figma SVG/coding handoff, approaching the fully AI-native bucket."
consulting-deck,6.4,7,6,7,5,7,"Consulting Deck turns source documents and an evidence ledger into an answer-first storyline and natively editable PowerPoint, giving the AI real authoring authority over the deck structure and content. Because project sources and the evidence ledger remain the revision authority, an affected slide can be rebuilt without regenerating the whole deck, evidencing targeted mutation over persistent artifacts. QA projections catch overflow and hierarchy but the examples prove a reproducible path rather than consulting-grade reasoning without human review, so human_loop stays moderate."
aws-deploy-on-aws,6.2,5,6,7,6,7,"The skill turns a repository or architecture brief into a .drawio document whose XML stays editable and source-controlled in the target repo, so an agent authors a persistent, machine-checked architecture model constrained by an AWS4 visual grammar. Post-processing and a validator fix nesting/colors/badge overlap and check structure before a preview URL and optional static exports, evidencing agent mutation with automated verification. The design content is heavily constrained by deterministic grammar and validation rules, so authority is scored as tool-guided rather than free-form authoring."
diagram-design,6.0,5,6,7,6,6,"The skill classifies the underlying information relationship and applies per-family composition rules so the agent composes semantically correct diagrams, and a Draw.io extraction helper lets it inspect and revise existing .drawio content rather than working from screenshots alone. This is a reasoning/validation contract for the agent over the native draw.io graph, so authority is tool-guided; mutation of structured .drawio material is evidenced. The skill is the product boundary with draw.io as the editor, so delivery is the handoff diagram rather than a broader shipped result."
ai-website-builder-mohammad,5.6,8,4,6,5,5,"Gemini streams complete HTML responses persisted as PostgreSQL frames, giving the AI strong authoring authority over full website documents. The distinctive correction loop is human-driven: the user edits the iframe document through contenteditable controls and saves the rewritten outerHTML back to the frame, so AI itself does not mutate existing frames. Frames are durable but current-state only with no historical snapshot table, and no export or deploy path is evidenced, capping artifact and delivery."
verilog-ide,5.2,7,3,5,5,6,"Multiple model providers generate RTL and testbench sources that enter Icarus simulation and Yosys synthesis, so AI authors hardware source with validation directly meaningful to the design. Users edit source/testbench and rerun the toolchain, but there is no evidence the AI mutates existing designs, so mutation is capped; waveforms and netlists are derived evidence rather than a durable project database. Downloadable artifacts and synthesis results give real delivery, though no parametric CAD or project persistence is present."
lgazo-drawio-mcp,5.6,4,6,7,5,6,"This browser-extension bridge relays structured diagram operations from an MCP server into the live diagrams.net editor, so an agent can change the native Draw.io graph with no shadow database; mutation of the authoritative document is evidenced by the committed architecture and tool catalog. It is a pure control/bridge product without the official product's shape index or auto-layout intelligence, so authority over design content is bridge-level. Native Draw.io saving/export remains the persistence and delivery boundary."
replay,6.6,6,6,8,6,7,"Replay's documented pipeline measures a screen recording, generates React/Tailwind components and verifies them with visual comparison (SSIM), then exposes a component library, visual canvas and AI edits, evidencing AI authoring and mutation of an executable component system. Generated source is the durable authority with Figma token import constraining the system, scoring artifact high. The product source is closed and the dossier classifies it as a design-code bridge whose reconstruction cannot guarantee architecture or interaction semantics, so authority and mutation are capped while delivery reaches a published design system."
dcc-mcp-photoshop,5.4,3,8,8,4,4,"Bridge adapter: the agent operates the native layered PSD via skills, but the adapter itself does not author design, so authority stays low per the bridge rule. Mutation is strong and source-visible: 'create/delete layers, change opacity/visibility/blend mode, edit text... work with smart objects' directly edits the persistent document, and layer/selection skills 'preserve the editable PSD graph before delivery'. Artifact is the durable native PSD ('the Python sidecar never becomes the image authority'); delivery is limited to edits/exports inside Photoshop, and the human/agent loop requires host sessions and watchdog reinspection, penalizing delivery and human_loop."
tokvista,6.2,7,5,7,5,7,"AI generator turns a product-style prompt into 'foundation and semantic token groups', so AI defines the initial design system; the pre-publish diff ('added changed removed diff') makes the human the adoption decision point, limiting mutation and human_loop. Artifact is durable and editable: Figma Variables native graph plus versioned GitHub snapshots. Delivery closes to code: 'CSS SCSS Tailwind or tokens.json' and 'GitHub versioned snapshot' with shareable developer preview. Closed implementation leaves schema/model unverified but does not depress the evidenced dimensions."
qwen-video-edit,5.2,6,4,5,6,5,"The capability is a skill/MCP production kit: 'an agent can compose a directed visual system' from motion atoms, transition code and style packs, giving the AI real composition authority. Mutation is penalized because 'repository evidence establishes orchestration and packaged art direction but not provider persistence or deterministic regeneration' — no direct edit of a persistent artifact is evidenced. Produced media are 'delivery artifacts' while skill assets are the recoverable process boundary; external generation backends cap artifact/delivery certainty."
coderocket,8.6,9,9,9,7,9,"The model writes the complete versioned app artifact ('<coderocketArtifact>'/'<coderocketFile>'), making AI the author of the designed product. Mutation is explicit: 'the completion parser merges new files with the prior artifact, applies patch formats, preserves files marked locked and honors explicit deletion', with per-message versions in PostgreSQL. Artifact is durable and structured (versioned artifact separate from build storage and promoted release); delivery is closed via build, preview screenshot, subdomain deployment promotion and GitHub sync. Human_loop is mid-high because deployment promotion is an explicit user decision and the baseline migration reset is unresolved."
clawphd,6.8,7,7,7,6,7,"AI turns papers into diagrams, posters, videos, structured Markdown and figure packs, so it authors scholarly-communication designs from source material. Mutation is evidenced by diagram generation that 'produces a candidate and iterates with human feedback', directly revising the artifact. Durable editable handoffs exist: 'SVG and PPTX for editing, and Draw.io reconstruction', so artifact is strong; delivery covers exportable deliverables. Human feedback around each run and the coordination layout keep human_loop at 6."
dressx-ai-suite,5.6,7,3,4,6,8,"AI Studio turns garment packshots and creative direction into 'collection-scale commerce imagery and video', so AI authors the campaign media. Mutation is penalized to 3 because 'public material also does not disclose edit history generation parameters asset schemas or campaign versioning' — no evidence of AI editing existing artifacts. Artifact is the generated media collection (durable but editability/versioning unproven). Delivery is strong: commerce integrations, virtual try-on, CRM and retail experiences close the loop to shipped commerce media."
nemoclaw-game-factory,7.8,8,8,8,7,8,"AI builds the complete self-contained HTML app/game from a prompt, giving high authoring authority. Mutation is source-visible: refinement prompts 'include the currently deployed HTML' and the builder must 'return it unchanged if a valid repair cannot be produced', so AI directly iterates the deployed artifact. The artifact is the durable single-file HTML with deployed preview; the builder-reviewer-deploy pipeline with explicit human final approval gives good human_loop, and delivery reaches a deployed preview."
flowforge-skill,5.2,6,3,7,5,5,"AI compiles natural-language diagram intent into editable .drawio files, so it creates the diagram; 'deterministic layout formulas' constrain rather than remove its compositional role. Mutation is penalized: the skill generates a file one-shot and 'can be opened and refined in any Draw.io editor' by a human — no AI iteration on an existing artifact is evidenced. The generated .drawio plus rendered image is a durable editable artifact, yet there is no hosted store or published delivery, keeping human_loop and delivery moderate."
glide-design,7.2,8,7,7,7,7,"One brief produces strategy (audience, flow, risks, success criteria) plus 'high-fidelity responsive screens and copy', so AI authors the complete design. Mutation is present via 'section-scoped refinement' of the hosted project but penalized to 7 because the site 'does not disclose... whether a one-click critique fix is a structured patch or regeneration'. The hosted project (not a screenshot) is the working artifact; delivery covers shareable preview and builder-oriented handoff notes. Figma export is mentioned without a validated round trip, capping delivery."
dcc-mcp-zbrush,5.4,3,8,8,4,4,"Same bridge shape as DCC-MCP Photoshop: the adapter lets an agent run sculpt operations on the persistent ZBrush Tool/SubTool graph, so mutation is strong ('remesh and bake tools all operate the selected native subtool') but the adapter does not itself author design (authority 3). Artifact is the durable native ZBrush document with OBJ only as interchange; delivery is bounded to in-DCC edits/export. Human_loop is penalized by pre-alpha busy-state recovery and single-request-at-a-time constraints."
sio,5.4,6,4,6,6,5,"Sio's assistant 'proposes a study plan and questions' and later turns responses into UX findings, so AI authors the study scaffold and analysis. Mutation is penalized: the dossier asks 'whether analysis can be regenerated against the same raw dataset' and finds no write-back path, so no direct AI edit of a persistent artifact is evidenced. The full study — configuration, participant links, heatmaps and analysis — is retained as one project, giving a durable artifact; delivery stays in-app with no strong export evidence."
office-raccoon,6.8,7,7,7,6,7,"The SenseNova PPT workflow shows AI turning style and outline into an asset plan, VLM-reviewed page HTML and PPTX export, so AI authors the presentation. Mutation is evidenced by the workbench spec: 'direct selection, movement, resizing and regeneration' of retained pages. Artifact is the hosted workspace with sessions, stored assets and retained page HTML; delivery closes to PPTX export. Outline confirmation and VLM review keep human_loop at 6 rather than higher."
marmo-ui,6.6,7,6,7,6,7,"Marmo constrains an external coding agent with a real design-system vocabulary and 'generation occurs in the user's own agent and code lands in the user's repository', so AI authors the UI. Mutation flows through 'review_generated_code' iteration in the repository, but the protected MCP internals are private, capping certainty. Artifact is durable repository code plus semantic light/dark tokens and prop inventory; delivery closes to generated code in the user's repo, though validation 'cannot prove that correct component calls create a useful product experience'."
motion-previs-studio,5.8,5,5,7,6,6,"The app derives pose, depth, masks, edges and camera evidence from a chosen reference range and authority mode — decision support rather than free design creation, so authority is moderate. The exported pack (control videos, camera JSON, OpenPose keypoints, shot bible, manifests, quality report) is a durable structured artifact, and session restore plus the MCP bridge operating 'the same running app' enable iteration. The human chooses range/mode and the readiness is gate-driven, so human_loop and delivery sit mid-scale."
syncpoint,3.8,2,3,5,5,4,"SyncPoint is a coordination layer that syncs token/icon/component systems with skills and agent projects — it does not create design, so authority is minimal. Mutation is unproven: 'the site does not disclose the local data format, conflict resolution... update direction', so AI-driven changes to artifacts cannot be evidenced. Managed design-system content is a plausible durable artifact, but beta early access means 'no ordinary-user installation or sync run was available for inspection', penalizing mutation, artifact and delivery."
recombyn,7.4,7,8,9,7,6,"The Design Agent routes intent through decide/paint/observe and 'paint emits structured tool_ops; the host validates those operations against the registered catalogue before applying them to the same scene', so AI authors and directly mutates the canvas — a published control path for editing existing work. Artifact is exceptional: a machine-readable SceneDocument schema/JSON contract that both humans and agents edit, with Yjs shared-document collaboration. Delivery is a self-hosted canvas app; export/deploy paths are less emphasized, capping delivery."
blendermcp,5.4,3,8,8,4,4,"Bridge adapter: 'there is no parallel scene model in the adapter: the open Blender document is the live authority', so the AI agent directly mutates the persistent scene (object creation/deletion, material changes, arbitrary Python) while the bridge itself does not author design (authority 3). The saved .blend is a durable editable artifact. Delivery is bounded to edits within Blender plus screenshots closing an inspect-correct-inspect loop; safety/save discipline falls to the user, penalizing human_loop."
designflow,3.4,1,2,7,2,5,"No AI is evidenced anywhere in the dossier: 'DesignFlow turns source-authored screens into a spatial design board' and the human drags nodes, with the Vite plugin serializing positions back into flows.ts. Authority and mutation are therefore minimal (the tool writes flow metadata, but that is human-driven authoring). The underlying React modules, flows.ts and design tokens are durable structured artifacts; delivery is limited to PNG export and a read-only static HTML share."
icezone-studio,6.6,6,7,8,6,6,"Prompts and media feed an executable node canvas where 'an output can become the input of another visible step', so AI generates/produces visual content within a human-arranged graph. Mutation is evidenced by reconnect/refine/template cycles that operate on the same graph and attach completed media back to nodes. The project graph, nodes and attached assets persist with undo/redo/autosave — a durable structured artifact. Storyboard export is a delivery projection; provider runs are BYOK and graph-built, keeping human_loop and delivery mid-scale."
buzzy,6.6,7,6,6,6,8,"AI AutoMarkup scans a Figma design and 'derives application structure, database and CMS configuration', so AI authors the app implementation from the design. Mutation occurs through explicit republish: 'the plugin then lets the user keep Figma as a design-facing authority and explicitly republish changes to the hosted app', though what round-trips is not fully specified. Artifact is the managed hosted app with DB/CMS (closed schema); delivery is strong because it ends in a 'working web or native app'."
circle-take,5.8,6,5,7,5,6,"AI filmmaking design is organized as generation and promotion: candidates are generated with retained recipes and judged by local quality gates, while the director's circled take — a human decision — is the delivery choice. The project store retains ratings, prompt diffs, selected spans and circling, a durable structured artifact, and the MCP bridge operates the same promotion state so agent review cannot bypass the dailies decision. Mutation is moderate (spans/ratings/promotion edits rather than regenerating content into place)."
open-design,8.8,9,9,9,8,9,"A Claude Design alternative where delegated coding agents write canonical project files from brief + DESIGN.md, so AI authors the complete design artifacts. Mutation is deep and source-visible: guarded direct-edit HTML source patches, per-file version store with AI capture and restore, and before/after fingerprint diffs recognizing real agent edits. Artifact is the durable filesystem + SQLite control state + manifest/version layers. Delivery closes via HTML/PDF/PPTX/Markdown/image/MP4 exports, deployments, CLI and MCP surfaces; humans review previews/comments and can edit directly, keeping human_loop at 8."
nightghost-design-agent,7.2,8,8,7,7,6,"The generator produces frontend code from brief+art direction, then a vision critic assesses a screenshot and a refiner mutates the code until a quality gate or limit — AI is the author and directly iterates the candidate source each cycle ('every cycle re-renders it'). Artifact is the editable accepted source with evidence, but no long-term store is described. Human_loop is strong because the loop runs automatically until gate/limit; delivery stops at accepted source rather than a deployed result. No license and short development burst are lifecycle notes, not score changes."
cork-board,5.8,3,7,8,5,6,"Much of the wall is useful without AI, so human authoring dominates; authority stays low even though an MCP server can 'add and move cards, reorder acts, set arc beats, mutate entities'. Mutation is real and direct: the agent reads and writes 'the same project JSON a person exports and reimports', so it edits the persistent plan artifact. Artifact is durable (project graph with 60-level undo, checkpoints, JSON export); delivery covers JSON, Share Wall, Markdown/CSV/Fountain outputs."
ghost-ai,6.2,6,7,7,6,5,"The agent reads the typed node/edge graph and 'returns graph mutations rather than a diagram screenshot', so AI authors structural architecture changes and can generate a separate spec. The graph is the working artifact: React Flow rendering, Liveblocks presence and autosaved canvas JSON. Mutation of the persistent canvas is evidenced by durable task execution; the spec may lag graph edits and must be regenerated, capping delivery to graph + spec documents. Tutorial-associated repository with no license is noted but does not change the score."
sam-pdf-studio,6.0,4,8,7,5,6,"The product performs corrections (text replacement, annotations, redlines, signatures, page ops, OCR) on existing PDFs, so AI is an editor rather than a design author (authority 4). Mutation is excellent and versioned: 'every successful change' routes to a new file in a private version stack and the MCP wrapper 'always writes a new output path, preserving the same non-destructive boundary'. Artifact is the PDF version stack; delivery covers corrected/converted PDF outputs."
prefab,6.0,6,5,7,6,6,"GenerativeUI accepts model-written Prefab Python and executes it in a Pyodide sandbox, so AI authors interactive UI within a bounded component vocabulary. Mutation is moderate: generated code is re-executed/streamed and CallTool actions mutate app state, but the authoring authority stays in host-persisted Python ('the embedding MCP server REST application or file project must persist authoritative Python'). The versioned PrefabApp JSON envelope and typed components form a durable structured artifact; delivery reaches a rendered interactive UI with action transport."
jaaz,6.8,7,7,8,6,6,"An agent conversation generates media whose tools 'calculate placement and add results to the canvas rather than leaving them only in the chat transcript', so AI authors and directly mutates the creative canvas. Canvas and chat state are separate durable SQLite records, making the canvas a strong structured artifact that reopens without replaying the conversation. A human edits the canvas directly and drives the conversation, so human_loop is mid; delivery is the populated local desktop canvas/export surface."
fluidcad,6.8,6,8,8,6,6,"JavaScript source (.fluid.js) is the canonical model and 'visual tools and agents do not edit an opaque duplicate: both work by changing .fluid.js', so agents have solid authoring and direct mutation of the persistent model, with modeling history rollback. The source-plus-feature-history is a durable structured artifact; STEP import/export provides an engineering delivery boundary. Human click-tools and agent edits coexist, keeping human_loop at 6."
design-md-generator,4.4,4,2,6,5,5,"The pipeline crawls a live site and classifies computed/interaction evidence ('it does not treat every captured CSS value as a durable rule'), so AI analyzes and extracts a design system rather than authoring new design. It 'does not mutate the sampled website' and Git remains versioning, so mutation is minimal. The produced DESIGN.md, structured tokens, agent instructions, preview and pixel-level proof are durable structured outputs that govern later agent work but do not round-trip back, capping artifact/delivery."
quilter,6.2,7,5,7,6,6,"Quilter performs the core PCB design work — searching placement and routing within engineer-supplied physics constraints and generating 'hundreds of alternatives in parallel' — so AI authors candidate layouts. The engineer fixes outline, pre-places connectors and reviews/adjusts candidates, and the hosted result is a candidate rather than a mutated authoritative artifact, so mutation stays moderate. Projects return in native format for DRC/fabrication in the user's EDA tool; the private RL implementation is unverified but the evidenced architecture supports the scores."
ai-ui-style-director,5.8,6,5,6,6,6,"AI ranks visual directions from a curated deterministic catalog and produces a first-viewport implementation; 'model output cannot silently invent the catalog identities', so its authoring is bounded but real. Mutation is moderate: the workflow 'first viewport -> inspect and revise' implies iteration but the revision mechanism is not detailed, and previews are candidates rather than versions. The selected DESIGN.md and application source persist as durable artifacts; delivery covers the DESIGN.md handoff contract plus first-viewport implementation."
davinci-resolve,5.2,3,4,8,3,8,"AI tools operate inside the same editing/color/Fusion project (CineFocus, face tools) and remain adjustable via native controls, with the saved Resolve project authoritative. The human chooses focal subjects, adjusts parameters and keyframes, so authority and automation are low while the native project is a strong durable artifact. AI mutation is limited to parameterized transforms rather than iterative repair; delivery is high as a professional render/publish platform."
flaude,8.0,8,8,9,7,8,"Pinned source shows MCP commands read/create/edit/inspect/critique over native Figma nodes with schema-first batches tagged `flaude:dslId`, idempotent upserts and read-back drift classification. Claude via MCP authors and repairs the editable Figma node graph, making this a strong co-editing loop. Hosted server-side schema generation is unverifiable from the open revision but not needed for the core loop."
velocity,6.0,5,6,7,5,7,"AI routes propose or repair the editable workflow node graph, and deployment materializes provider-native command/skill files; SQLite retains local project state. Human inspection of sessions precedes automation, so the loop still leans on manual review. The visual graph is a design surface over filesystem authorities rather than a universal runtime, capping delivery."
app-club-design,7.2,8,7,8,6,7,"Agent tool results add/update screen nodes in `useProjectState` while the canvas renders existing screens without flattening them, and the design-agent contract supports a continuing correction path. Human move/select/edit rounds steer the loop. Small codebase and active-transition lifecycle, but the shared screen-node state is a genuine editable multi-screen artifact."
code2video,6.8,8,7,8,4,7,"agent.py persists outline/storyboard and generates section-level Manim source, while the critic scopes repairs to line/function/section and re-rendering gives a reproducible path to video. Existing files are loaded on later runs, so artifacts remain inspectable and replaceable. The interaction model is scripted (edit prompts/JSON and rerun), lowering human_loop."
convey,4.0,3,3,3,4,7,"Convey is a runtime-intent relay: the overlay packages visual intent plus element/runtime evidence for a coding agent that edits the actual repository, and reload verifies the result; overlay state itself is temporary. It does not author the design or persist a visual artifact, so authority/mutation/artifact are low. The loop does close intent to verified source change, giving a moderate delivery."
ipollowork,6.4,7,6,7,6,6,"Agent tools create typed design/slides/video artifacts mounted through an artifact panel with a dedicated HTML runtime where the user can continue editing. Session-bound storage and local exports keep this a workbench rather than a portable cross-instance design graph, so artifact and delivery are capped. Design is a first-class editable mode, not universal design authority."
fluxwing-skills,6.4,7,6,7,6,6,"Six skills write generated `.uxm`/`.md`/`.rendered.md` files under the user's `fluxwing/` directory while bundled templates stay read-only, keeping artifacts git-diffable across conversational revision; a validator gates translation to React. The conversational agent authors the low-to-hi-fi design files. Human review precedes translation, so automation is partial."
dora-ai,6.6,8,4,8,5,8,"Prompt and style produce four previews; the user selects one before editable desktop/mobile Figma designs and a linked Dora site project are materialized, with credits separating preview from conversion. AI authors the site design, but public evidence does not establish AI iteration on the established design or Figma-to-project synchronization, so mutation semantics are penalized. Closed implementation and publishable website delivery."
google-adk-nocode,3.4,1,1,6,2,7,"The form schema is the authoring contract and `create` deterministically materializes a runnable agent directory (generated Python, FastAPI, clients, docs); there is no AI generation or iteration. It is a deterministic design-code materializer, so authority and mutation are minimal. Generates a durable, executable filesystem project with a working run path."
design-farmer,6.6,7,6,8,5,7,"The skill runs a staged pipeline from repository discovery to a checked-in `DESIGN.md` source of truth, then tokens/themes/components and Storybook, with quality gates and a readiness handoff. An AI agent executes the design-system build over the user's repository, mutating real project files. Human steers phases and gates; the skill owns the process, not cloud versions."
comfy-mcp-official,5.4,3,4,8,5,7,"The MCP contract exposes node discovery, execution and saving/updating workflows with recoverable versions and URL handoff for inspection/correction on the Comfy Cloud canvas; the local server drives a live ComfyUI via `comfy-cli`. As a bridge, it does not author designs itself (an external agent does), so authority is low while saved graphs are a strong durable artifact. Execution and delivery are verifiable."
whipui,4.2,3,3,5,4,6,"WhipUI is a routing/context layer: it writes `PROJECT-DNA.md` and fingerprints, routes requests toward installed design intelligence/Figma MCP/Playwright, and coordinates bounded repair iterations, while repository code remains implementation authority. It neither authors nor fully persists the design itself, so authority/mutation/artifact score low. The loop closes to agent-implemented source changes."
ai-slide-editor,7.0,8,7,7,6,7,"PPTX is parsed into a typed scene graph that a conversational planner changes via reviewable ActionPlans; the executor applies, validation/review requests corrections, and a preview-plus-diff with undo precedes PPTX writing. Sessions are process-local rather than durable projects, penalizing artifact longevity. The AI mutates the actual slide artifact through a strong reviewable loop."
comfy-in-app-agent,6.6,7,6,8,6,6,"First-party alpha docs confirm build and edit verbs against the visible Comfy UI graph from an in-app chat, with the saved graph remaining the artifact authority. Implementation, planning and history semantics are unknown at architecture level, so mutation depth is penalized. Distinct co-located interaction model with strong artifact backing but no explicit publish delivery."
figma-variables-generator,6.8,7,7,8,5,7,"An agent skill interviews the user and a deterministic builder emits a W3C-shaped token ZIP; the Figma plugin performs conflict analysis then creates/synchronizes native collections, modes, variables and styles, with alias ordering and destructive replacement gated by human confirmation. The design-system mutation is real but batch/export-import rather than live co-editing, lowering human_loop."
voice-agent-platform-yumikoood,5.4,7,4,5,4,7,"GPT-4o generates a strict agent configuration the user inspects and edits, stored in localStorage with JSON import/export, then converted into live OpenAI Realtime agents with external tools. The artifact is a portable spec, not synchronized project storage or version history, and AI iteration on existing configs is limited. Fidelity gaps in conversion cap human_loop and artifact."
whiteport-design-studio,6.2,7,6,7,5,6,"Agents (Saga/Freya/Mimir) write product briefs, UX scenarios, page specs, design-system work and assets into named `design-artifacts/` subtrees, with signoff separating intent changes. AI authors a staged design-development chain, but external tools retain their own native graphs and no single automatic round-trip is claimed. Delivery is an implementation/delivery package rather than a published artifact."
homeverse,7.2,8,8,8,6,6,"Gemini turns floor-plan images and briefs into validated structured room/object data, and the copilot translates natural language into add/update/delete operations over the SQL-persisted 3D object model, with failed interpretation preserving the graph. Generation candidates and the editable scene graph are distinct authorities, giving a strong shared-authority loop. No merge/branch model or lossless reconstruction is established, capping delivery."
better-web-ui,6.8,7,7,7,6,7,"`frontend-design` routes work, `add-ui` mutates source, and `critique`/`audit` produce evidence for the next pass while existing source/component/token choices take precedence. An agent executes the design refinements directly in the repository, yielding deployable source. The loop relies on agent-driven passes with human review rather than an end-to-end automatic pipeline."
launchlayer-ai,6.2,7,7,7,5,5,"OpenAI returns a bounded pages/sections JSON stored in relational Website/Page records, rendered live, and chat edits update current sections with immutable SiteVersion snapshots. The nucleus is genuinely AI-authored, editable and versioned, but restore, publishing, auth and billing are explicitly unfinished, capping delivery. Deterministic fallback and snapshotting show real artifact discipline."
hangover,6.4,7,7,7,5,6,"LLM proposals are normalized into structured nodes/edges that pass deterministic pin/schema repair before joining the MongoDB-stored project graph, and the user can directly move/edit with autosave. Probabilistic reasoning never directly becomes the stored artifact, so the graph stays inspectable. Hackathon-stage workspace; no electrical-rule correctness or branchable history established."
better-design,6.2,7,6,7,5,6,"The hosted MCP resolves a design system (semantic tokens, components, review rules) and the agent writes ordinary repository UI then corrects it against accessibility/visual review rules; the open registry pins component JSON and CSS token layers. Application source is runtime authority with no bidirectional canvas. Hosted MCP implementation is closed, so review execution is unverifiable."
logo-generator-skill,6.6,7,6,7,6,7,"The skill demands at least six distinct SVG concepts, writes each to its own file for comparison, and refinement proceeds from the explicitly chosen source, leaving the filesystem as the candidate graph. The winning SVG stays editable in vector tools and scripts derive PNG/mockup deliverables. No embedded model or database; the host agent authors files."
tokenignite,4.8,3,4,7,4,6,"Figma variables are streamed into running clients as CSS custom properties for visual validation, and only a human-controlled CSS export promotes them to repository source; the plugin can write missing WEB custom-property syntax back into the Figma file. It is a candidate-promotion/validation bridge where AI participates rather than owns, so authority is low. Plugin/server source is closed, penalizing evidence for authority and iteration."
ai-canvas-desktop,7.2,7,8,8,6,7,"The human UI and local MCP bridge share one document schema, command system and semantic query layer, so agent edits commit to SQLite through the same invariants as direct editing, with undo/redo and scene-first documents. The agent authors and mutates a persistent editable scene document plus disk assets. V1 constraints and browser-backed capture limits mark active-transition maturity."
dcc-mcp-fpt,5.0,3,5,7,4,6,"The adapter exposes CRUD over the same FPT/ShotGrid entities artists see and carries review decisions back into that graph via skills, using a pinned `fpt` CLI for transport. It is an agent-facing adapter that mutates a managed production graph rather than creating design media. Authority stays low because the design/coordination work is performed by the connected agent."
ppt-design-prompt,3.2,1,1,6,3,5,"converter.py deterministically parses a web-oriented DESIGN.md and emits a presentation-oriented DESIGN.md with safe zones and provenance; there is no deck generation, canvas or render loop. It is deterministic design-code translation with the translated constraint document as the durable artifact. Human invokes the CLI; delivery is only an intermediate file for a later image/slide agent."
uix-ai-agent,7.4,8,8,8,6,7,"The canonical project is structured JSON whose screen bodies are executable Tailwind HTML; geminiService sends the current project plus existing screens for whole-project generation, new screens or targeted refinement, and canvas/preview/refinement converge on the same screen records. Undo/redo and localStorage persistence exist, but server-side branches do not. HTML ZIP export preserves editable source for delivery."
hugoblox,6.4,7,4,8,5,8,"Hugo Chat proposes a site as structured Markdown that the open kit renders through a pinned block schema and reusable Hugo blocks; users then make direct source edits and deploy portably. AI authors the Markdown site, but the hosted generator's prompts, orchestration and revision store are not public, so AI iteration semantics are penalized. Strong artifact portability and deployment delivery."
homemaker,7.6,8,8,8,7,7,"Claude Agent SDK edits room source/JSON files directly in the project directory with screenshot-verified hot reload, so AI authorship and mutation of a durable artifact are source-pinned ('claude_agent.py', 'CLAUDE.md'). Human plan/build modes and direct canvas edits keep the loop collaborative. Delivery is the live browser scene plus durable project files rather than a hosted publish."
calino,5.6,6,4,6,6,6,"Calino generates raster candidates from selected frames/quality tier and fills frames or builds variant grids in Figma (DALL-E 2/3, GPT-Image-1), giving AI real authorship of image content. Mutation is weak: the AI never edits existing imagery, reinsertion from the 30-image paid history is a new canvas mutation, and history sits outside Figma version history. Delivery is a usable in-Figma fill; fill serialization and batch recovery are undisclosed and penalized."
webstew-ai,7.8,8,8,8,7,8,"Streaming generate routes produce complete multi-file React/Next/Astro projects and the agent route exposes correction tools over current project material, showing direct AI authorship and mutation of persistent files (MongoDB Project model, workspace undo/redo). GitHub deployment and hosted deploy branch from accepted project source, closing delivery. Bounded in-memory undo is not a complete server-side archive, a minor artifact caveat."
shopnest,6.8,7,6,7,7,7,"Gemini creates typed hero/service/product/FAQ/SEO values from a validated business brief into Supabase records, evidencing real AI authorship of site content bounded by the wizard. Mutation is scoped: editor actions update one section/theme/brand color without replacing the whole site, and regeneration is confined to that scope. Publish, JSON roundtrip and static HTML+data ZIP close delivery; AI does not freely iterate across the whole artifact."
