slug,product,organization,evidence_depth,lifecycle,bucket
dcc-cua,dcc-cua,dcc-mcp-cua-runtime,source,active,active
dcc-lookdev,DCC LookDev,dcc-mcp-lookdev-workflow,source,active,active
dcc-materialx,DCC MaterialX,dcc-mcp-materialx-workflow,source,active,active
dcc-mcp-3dsmax,DCC-MCP 3ds Max,dcc-mcp-3dsmax-adapter,source,active,active
dcc-mcp-aftereffects,DCC-MCP After Effects,dcc-mcp-aftereffects-adapter,source,active,active
dcc-mcp-blender,DCC-MCP Blender,dcc-mcp-blender-adapter,source,active,active
dcc-mcp-cinema4d,DCC-MCP Cinema 4D,dcc-mcp-cinema4d-adapter,source,active,active
dcc-mcp-comfyui,DCC-MCP ComfyUI,dcc-mcp-comfyui-adapter,source,active,active
dcc-mcp-core,DCC-MCP Core,dcc-mcp-core-platform,source,active,active
dcc-mcp-fpt,DCC-MCP Flow Production Tracking,dcc-mcp-fpt-adapter,source,active,active
dcc-mcp-freecad,DCC-MCP FreeCAD,dcc-mcp-freecad-adapter,source,active,active
dcc-mcp-godot,DCC-MCP Godot,dcc-mcp-godot-adapter,source,active,active
dcc-mcp-houdini,DCC-MCP Houdini,dcc-mcp-houdini-adapter,source,active,active
dcc-mcp-illustrator,DCC-MCP Illustrator,dcc-mcp-illustrator-adapter,source,active,active
dcc-mcp-mari,DCC-MCP Mari,dcc-mcp-mari-adapter,source,active,active
dcc-mcp-marmoset,DCC-MCP Marmoset,dcc-mcp-marmoset-adapter,source,active,active
dcc-mcp-maya,DCC-MCP Maya,dcc-mcp-maya-adapter,source,active,active
dcc-mcp-maya-advancedskeleton,DCC-MCP Maya AdvancedSkeleton,dcc-mcp-maya-advancedskeleton-skill,source,active,active
dcc-mcp-maya-mgear,DCC-MCP Maya mGear,dcc-mcp-maya-mgear-skill,source,active,active
dcc-mcp-maya-procedural-architecture,DCC-MCP Maya Procedural Architecture,dcc-mcp-maya-procedural-architecture-skill,source,active,active
dcc-mcp-nuke,DCC-MCP Nuke,dcc-mcp-nuke-adapter,source,active,active
dcc-mcp-openscad,DCC-MCP OpenSCAD,dcc-mcp-openscad-adapter,source,active,active
dcc-mcp-openusd,DCC-MCP OpenUSD,dcc-mcp-openusd-adapter,source,active,active
dcc-mcp-photoshop,DCC-MCP Photoshop,dcc-mcp-photoshop-adapter,source,active,active
dcc-mcp-renderdoc,DCC-MCP RenderDoc,dcc-mcp-renderdoc-adapter,source,active,active
dcc-mcp-substance3d-designer,DCC-MCP Substance 3D Designer,dcc-mcp-substance3d-designer-adapter,source,active,active
dcc-mcp-substance3d-painter,DCC-MCP Substance 3D Painter,dcc-mcp-substance3d-painter-adapter,source,active,active
dcc-mcp-touchdesigner,DCC-MCP TouchDesigner,dcc-mcp-touchdesigner-adapter,source,active,active
dcc-mcp-tracy,DCC-MCP Tracy,dcc-mcp-tracy-adapter,source,active,active
dcc-mcp-unity,DCC-MCP Unity,dcc-mcp-unity-adapter,source,active,active
dcc-mcp-unreal,DCC-MCP Unreal,dcc-mcp-unreal-adapter,source,active,active
dcc-mcp-wwise,DCC-MCP Wwise,dcc-mcp-wwise-adapter,source,active,active
dcc-mcp-zbrush,DCC-MCP ZBrush,dcc-mcp-zbrush-adapter,source,active,active
dcc-pipeline-publish,DCC Pipeline Publish,dcc-mcp-pipeline-publish-workflow,source,active,active
dcc-texture-pipeline,DCC Texture Pipeline,dcc-mcp-texture-pipeline-workflow,source,active,active
dcc-ui-qt-actions,DCC-MCP Qt UI Actions,dcc-mcp-qt-ui-actions-skill,source,active,active
decibel-designer,Decibel Designer,decibel-designer,source,active,active
deckestra,Deckestra,sunweitao-deckestra,source,active,active
deckscript,DeckScript,deckscript-local-first,architecture,active,active
deepdiagram,DeepDiagram,lingyi-deepdiagram,source,active,active
deeppcb,DeepPCB,instadeep-deeppcb,architecture,active,active
deepsite,DeepSite,enzostvs-deepsite,source,active,active
delements-web-stack,Delements Web Stack,delements-web-stack,source,active,active
dembrandt,Dembrandt,dembrandt-cli-mcp,source,active,active
design-agent-skills,Design Agent Skills,wang-yy-design,source,active,active
design-agents-flow,Design Agents Flow,charlie-design-agents-flow,architecture,active,active
design-audit-lens,Design Audit Lens,design-audit-lens-plugin,architecture,active,active
design-canvas,Design Canvas,design-canvas,architecture,active,active
design-dna,Design DNA,zanwei-design-dna,source,active,active
design-driven-development,Design-Driven Development,moose-ddd,source,active,active
design-eng-skills,Design Engineering Skills,farming-design-eng,source,active,active
design-farmer,Design Farmer,hak-lee-design-farmer,source,active,active
design-for-ai,design-for-ai,ryan-design-for-ai,source,active,active
design-harness,Design Harness,knuppe-design-harness,architecture,active,active
design-jarvis,Design Jarvis,renfei-design-jarvis,source,active,active
design-md-chrome,TypeUI DESIGN.md Extractor,bergside-design-md-chrome,source,active,active
design-md-extractor,DESIGN.md Extractor,jpoindexter-design-md-extractor,source,active,active
design-mode-extension,Design Mode,design-mode-browser-extension,source,active,active
design-os,Design OS,rudy-design-os,source,active,active
design-ruler,Design Ruler,xiaofeng-design-ruler,source,active,active
design-system-builder,Design System Builder,signer-design-system-builder,source,active,active
design-system-docs-generator,Design System Docs Generator,design-system-docs-generator-plugin,architecture,active,active
design-system-extraction,Design System Extraction Skill,tuotuo-design-system-extraction,source,active,active
design-system-inspection-kit,Design System Multi-Point Inspection Kit,brad-frost-ds-inspection,source,active,active
design-system-sync,Design System Sync,alexander-burgos-design-system-sync,architecture,active,active
designcanvas,DesignCanvas,poer-designcanvas,source,active,active
designflow,DesignFlow,designflow-react-flow,source,active,active
designflow-ai,DesignFlow AI,mrsmartboy-designflow,source,active,active
designforge-ai,DesignForge AI,codesbyshi-designforge,source,active,active
designmd,DESIGNmd,designmd-community-registry,architecture,active,active
designmd-maker-jp,DESIGN.md Maker JP,elephancube-design-spec,architecture,active,active
designpowers,Designpowers,mc-dean-designpowers,source,active,active
designpro,Design Pro,onimix-designpro,source,active,active
deskhand,Deskhand,yuhao-deskhand,source,active,active
despy,Despy,despy-platform,source,active,active
deterministic-ai-ui-builder-codeacks,Deterministic AI UI Builder by codeacks,codeacks-deterministic-ui,source,active,active
deterministic-ai-ui-builder-ujjwal,Deterministic AI UI Builder by ujjwal1541,ujjwal-deterministic-ui,source,active,active
devin,Devin,cognition-devin,architecture,active,active
devoraui,DevoraUI,prit-devoraui,source,active,active
devpilot,DevPilot,devpilot-browser-ide,source,active,active
diagai,DiagAI,manas-diagai,source,active,active
diagram-ai,Diagram AI,mohamed-diagram-ai,source,active,active
diagram-copilot-xidoke,Diagram Copilot by xidoke,xidoke-diagram-copilot,source,active,active
diagram-creator-pramit,Diagram Creator,pramit-diagram-creator,source,active,active
diagram-design,Diagram Design,cathryn-diagram-design,source,active,active
diagram-designer-jointjs,AI JointJS Diagram Editor,diagram-designer-jointjs-team,source,active,active
diagram-x,Diagram X,diagram-x-team,source,active,active
diagrams-bunlong,Diagrams,bunlong-diagrams,source,active,active
diamond-design-ai,Diamond Design AI,queue-solutions-diamond,source,active,active
dipeo,DiPeO,dipeo-team,source,active,active
director,director,dubh-director,source,active,active
disenia,DisenIA,disenia-multidevice-ui,architecture,active,active
dmaya,dMaya,dmaya-ui-canvas,architecture,active,active
dograh,Dograh,dograh-voice-agent-platform,source,active,active
dom-to-pptx,dom-to-pptx,atharva-dom-to-pptx,source,active,active
donkeywork-agents,DonkeyWork Agents,andyjmorgan-donkeywork,source,active,active
doodleagent,Doodle Agent,yifank-doodleagent,source,active,active
dora-ai,Dora AI,dora-ai-platform,architecture,active,active
dosmos,Dosmos,dosmos,source,active,active
dotgui,dotGUI,dotgui-format-toolchain,source,active,active
draftbit,Draftbit,draftbit-app-platform,architecture,active,active
draftdeckai,DraftDeckAI,muneerali-draftdeckai,source,active,active
draftwalk,DraftWalk,sammsamy02-draftwalk,source,active,active
drag-and-swap,Drag-and-Swap,farrelljoswara-drag-and-swap,source,active,active
drawio-ai-kit,drawio-ai-kit,sparklabx-drawio-ai-kit,source,active,active
drawio-codex,AI Diagram Generator / Draw.io Codex,jinseo-drawio-codex,source,active,active
drawio-diagram-builder,Draw.io Diagram Builder Skill,xiaowei-drawio-builder,source,active,active
drawio-engineering-mcp,Draw.io Engineering MCP,rfingadam-drawio-engineering,source,active,active
drawio-figure-replicator,Draw.io Figure Replicator,jiaqian-drawio-replicator,source,active,active
drawio-live-editor,Draw.io Live Editor,drawio-live-editor-team,source,active,active
drawio-mcp,Draw.io MCP,jgraph-drawio-mcp,source,active,active
drawio2go,DrawIO2Go,atlas-drawio2go,source,active,active
drawloop-skill,drawloop-skill,sashika-drawloop,source,active,active
dreamforge,DreamForge,dreamforge-team,source,active,active
dreamina,Dreamina,bytedance-dreamina,architecture,active,active
dreamui,DreamUI,dreamui-noor-maqsood,architecture,active,active
dressx-ai-suite,DRESSX AI Suite,dressx-fashion-commerce,architecture,active,active
drup-aid,Drup-AID,drelf-drup-aid,source,active,active
drupal-canvas,Drupal Canvas,drupal-canvas-community,source,active,active
drupal-canvas-plugin,Drupal Canvas Plugin,alphons-drupal-canvas-agents,source,active,active
dstoai,DStoAI,dstoai-context-export,architecture,active,active
dualite,Dualite,dualite-app-builder,architecture,active,active
dyad,Dyad,dyad-product,source,active,active
easeui,EaseUI,easeui-jang,architecture,active,active
easy-uml,Easy UML,easy-uml-team,source,active,active
easyeda-copilot,EasyEDA Copilot,biosshot-easyeda-copilot,source,active,active
eda-agent,EDA Agent,salitronic-eda-agent,source,active,active
edacraft,EDACraft,ephonic-edacraft,source,active,active
editable-presentation-studio,Editable Presentation Studio,coille-editable-presentation,source,active,active
ee-circuit-design-skills,EE Circuit Design Skills,thanabordee-ee-circuit,source,active,active
efecto,Efecto,efecto-agent-design,architecture,active,active
effective-html,Effective HTML,plannotator-effective-html,source,active,active
eigendeck,Eigendeck,dgleich-eigendeck,source,active,active
electronics-agent-kit,Electronics Agent Kit,o2scale-electronics-kit,architecture,active,active
embodied-scene-generation,Embodied Scene Generation,pudpawat-embodied-scenes,source,active,active
emdash-skills,Emdash Skills,megabyte-emdash,source,active,active
engineering-design-plugin,Engineering Design Agent Skills,straydog-engineering-plugin,source,active,active
erin-ai-workflow-studio,AI Workflow Studio by Erin,erin-workflow-studio,source,active,active
eter,ETER,eter-platform,architecture,active,active
etlaq,Etlaq,etlaq-sa,architecture,active,active
excalidraw-plugin,Excalidraw Plugin,aryxenv-excalidraw,source,active,active
exfig,ExFig,designpipe-exfig,source,active,active
exportflow,ExportFlow,exportflow-figma-webflow,architecture,active,active
extract-design-system,extract-design-system,arvind-extract-design-system,source,active,active
fablecut,FableCut,ronak-parmar-fablecut,source,active,active
fabricio-skills,Fabricio Telles Skills,fabricio-visual-skills,source,active,active
facade,Facade,facade-exterior-design,architecture,active,active
fanbox,FanBox,fanbox-workspace,source,active,active
fast-code-nova,Nova AI Builder in fast-code,shashi-nova,source,active,active
fastbuild123d,FastBuild123d,devon-fastbuild123d,source,active,active
figcraft,FigCraft,figcraft-local-visual-agent,architecture,active,active
figedit,FigEdit,giszzt-figedit,source,active,active
figma-cli,figma-cli,silships-figma-cli,source,active,active
figma-console-mcp,Figma Console MCP,southleft-figma-console,source,active,active
figma-design-agent,Figma Design Agent,figma-design-agent,architecture,active,active
figma-design-system-skills,Figma Design System Skills,edenspiekermann-figma-ds-skills,source,active,active
figma-editable-dashboard-skill,Figma Editable Dashboard Skill,fazal-dashboard,source,active,active
figma-make,Figma Make,figma-make,architecture,active,active
figma-mcp-bridge,Figma MCP Bridge,hopp-figma-mcp-bridge,source,active,active
figma-mcp-server,Figma MCP Server,figma-mcp-server,architecture,active,active
figma-relai,Figma Relai,figma-relai,source,active,active
figma-to-design-md,Figma to design.md,albert-figma-to-design-md,source,active,active
figma-to-webflow-starter,Figma to Webflow Starter,produlis-figma-webflow,architecture,active,active
figma-ui-mcp,figma-ui-mcp,tran-hoai-hung-figma-ui-mcp,source,active,active
figma-variables-generator,Figma Variables Generator Ecosystem,shanmus4-figma-variables-generator,source,active,active
figma2webflow-aw,Figma2Webflow-AW,khane-figma2webflow,source,active,active
figmalint,FigmaLint,southleft-figmalint,source,active,active
figmirror,FigMirror,vila-figmirror,source,active,active
figml,FigML,figml-piotr-adrian,architecture,active,active
figpilot-ai,FigPilot.ai,qutesoft-figpilot,architecture,active,active
figr,Figr,figr-product-context,architecture,active,active
figs,FIGS,figs-team,source,active,active
figsor,Figsor,asif-kabir-figsor,source,active,active
figspecs,FigSpecs,figspecs-handoff-system,architecture,active,active
figwright,Figwright,roya-figwright,source,active,active
firecrawl-open-agent-builder,Open Agent Builder by Firecrawl,firecrawl-agent-builder,source,active,active
firecrawl-open-lovable,Firecrawl Open Lovable,firecrawl-open-lovable,source,active,active
fireworks-tech-graph,Fireworks Tech Graph,yizhiyanhua-fireworks-tech-graph,source,active,active
flato,Flato,flato-native-canvas,architecture,active,active
flaude,Flaude,flaude-ana-gigashvili,source,active,active
fleck,Fleck,fleck-agent,architecture,active,active
floagenticai,FloAgenticAI,dearzubi-floagenticai,source,active,active
flock-agent-orchestrator,Flock,onelevenvy-flock,source,active,active
floorplan-interior-render,Floor Plan Interior Render,umair-floorplan-interior-render,source,active,active
flow-cad,Flow CAD,john-flow-cad,source,active,active
flow-maker,Flow Maker,run-llama-flow-maker,source,active,active
flow2go,Flow2Go,gus-flow2go,source,active,active
flowbase,Flowbase,rrs301-flowbase,source,active,active
flowforge,FlowForge,krish-flowforge,source,active,active
flowforge-ai-daniiel,FlowForge AI by Daniel,daniiel-flowforge-ai,source,active,active
flowforge-skill,FlowForge Skill,wentong-flowforge,source,active,active
flowise,Flowise,flowiseai-flowise,source,active,active
flowspect,FlowSpect,lonkins-flowspect,source,active,active
fluidcad,FluidCAD,fluid-cad-fluidcad,source,active,active
flutterflow,FlutterFlow,flutterflow,architecture,active,active
fluvara,Fluvara,fluvara-figma-plugin,architecture,active,active
fluxorai,FluxorAI,priyanshu-fluxorai,source,active,active
fluxus,Fluxus,fluxus-team,source,active,active
fluxwing-skills,Fluxwing Skills,trabian-fluxwing,source,active,active
foblex-flow,Foblex Flow,foblex-flow-team,source,active,active
forge-dhruv,Forge by Dhruv Bansal,dhruv-forge,source,active,active
forge-nihalashetty,Forge by Nihal A. Shetty,nihal-shetty-forge,source,active,active
forge-projects,Forge Projects,naphat-forge-projects,source,active,active
forgeai-mousewarriors,ForgeAI by Mousewarriors,mousewarriors-forge,source,active,active
forgix,Forgix,tanaya-forgix,source,active,active
forma-ai-service,Forma AI Agent Service,andreyka-forma,source,active,active
forma-fluens,Forma Fluens,forma-fluens-ui,source,active,active
fpga-design-agent,FPGA Design Agent,jacobo-fpga-design,source,active,active
fracta-agent-builder,FRACTA Visual Agent Builder,asheesh-fracta,source,active,active
frame-bucket,Frame Bucket,mckechniep-frame-bucket,source,active,active
framelink-mcp,Framelink MCP for Figma,framelink-mcp,source,active,active
framer-ai,Framer AI,framer,architecture,active,active
freecad-modeling-skill,FreeCAD Modeling Skill,ranran-freecad-modeling,architecture,active,active
friction,Friction,friction-simulated-research,architecture,active,active
froglips,Froglips,jeritano-froglips,source,active,active
front-end-builder-siddhartha,Front-end Builder by Siddhartha Kumar,siddhartha-front-builder,source,active,active
frontend-slides,Frontend Slides,zarazhangrui-frontend-slides,source,active,active
frontend-slides-editable,Frontend Slides Editable,archlizheng-frontend-slides-editable,source,active,active
fudge,Fudge,fudge-design-reference-agent,architecture,active,active
fusionmcp,FusionMCP,jaskirat-fusionmcp,source,active,active
game-creator,game-creator,playable-game-creator,source,active,active
gamma,Gamma,gamma,architecture,active,active
garden-skills,Garden Skills,conardli-garden-skills,source,active,active
gemdesign,GemDesign,gemdesign-ai-prototyping,architecture,active,active
gemini-notebook,Gemini Notebook,google-gemini-notebook,architecture,active,active
gemini-resume-builder,Gemini Resume Builder,om-kshirsagar-resume-builder,source,active,active
genable,Genable,musec-genable,architecture,active,active
genai-drawio-creator,GenAI DrawIO Creator,genai-drawio-creator-team,source,active,active
gendesigns,GenDesigns,gendesigns-mobile-ui,architecture,active,active
generative-ui-app-abhay,Generative UI App by Abhay,abhay-generative-ui,source,active,active
generative-ui-builder-v3rmxni7,Generative UI Builder,nischay-generative-ui-builder,source,active,active
genesis-highlevel,GENESIS HighLevel App Builder,genesis-highlevel-builder,source,active,active
genie-ai-website-builder,Genie AI Website Builder,genie-public-source-lineage,source,active,active
genjutsu,genjutsu,athevon-genjutsu,source,active,active
genoffice,GenOffice,genspark-genoffice,source,active,active
gensite,GenSite,prathamesh-gensite,source,active,active
gensite-ai-devendra,GenSite AI,gensite-ai-product,source,active,active
genu-advanced,GenU Advanced,genu-advanced-product,source,active,active
genui-aman,GenUI by Aman,aman-genui,source,active,active
genui-dimple,GenUI by Dimple,dimple-genui,source,active,active
genwebai-artibar,GenWebAI by Artibar,artibar-genwebai,source,active,active
get-shit-pretty,Get Shit Pretty,jubscodes-gsp,source,active,active
getui-ai,GetUI.ai,jayesh-getui,source,active,active
ghosted,Ghosted,megasupersoft-ghosted,source,active,active
gia-co-design,Gia-co-Design,alpha1-gia,source,active,active
giselle,Giselle,giselles-ai-platform,source,active,active
gitary,Gitary,peiiii-gitary,source,active,active
github-copilot-agent-skills,GitHub Copilot Agent Skills by Thomas Thornton,thomas-copilot-agent-skills,source,active,active
glide-design,GlideDesign,glide-design-brian-permut,architecture,active,active
gloria,Gloria,gloria-creative-canvas,architecture,active,active
gnr8,GNR8,srayash-gnr8,source,active,active
gnucleus,gNucleus,gnucleus-engineering-ai,architecture,active,active
google-adk-nocode,No-Code ADK Interface,abhishek-google-adk-nocode,source,active,active
google-adk-web,Google ADK Web / Visual Agent Builder,google-adk-web,source,active,active
google-antigravity,Google Antigravity,google-antigravity,architecture,active,active
google-stitch,Stitch,google-stitch,architecture,active,active
google-vids,Google Vids,google-workspace-vids,architecture,active,active
graph-ai,Graph AI,musashimiyomoto-graph-ai,source,active,active
graphini,Graphini,magnova-graphini,source,active,active
greatstack-ai-website-builder,GreatStack AI Website Builder course project,greatstack-sitebuilder,source,active,active
grok-build,Grok Build,grok-build-team,source,active,active
gstack,gstack,gstack-design-toolchain,source,active,active
gstack-game,gstack-game,fagemx-gstack-game,source,active,active
handle,Handle,tonkotsu-handle,source,active,active
hands-on-deck,hands-on-deck,every-hands-on-deck,source,active,active
hangover,Hangover,arnav-chhabra-hangover,source,active,active
hanzo-app,Hanzo App,hanzo-app-product,source,active,active
heliosgen,HeliosGen,segfault42-heliosgen,source,active,active
hemline,Hemline,hemline-hemy,architecture,active,active
heroui,HeroUI,heroui-design-system,source,active,active
heuristic-ai,Heuristic AI,donghuc-heuristic-ai,source,active,active
hexcode,HexCode,hexcode-kriti-team,source,active,active
heym,Heym,heymrun-heym,source,active,active
higgsfield-skills,Higgsfield Skills,higgsfield-skills,source,active,active
holst-ai,Холст.ИИ,holst-visual-platform,architecture,active,active
homebrain,HomeBrain,mefree-homebrain,source,active,active
homemaker,Homemaker,bayllama-homemaker,source,active,active
homeverse,HomeVerse,anisha-paturi-homeverse,source,active,active
hostinger-horizons,Hostinger Horizons,hostinger-horizons,architecture,active,active
html-ai-diagram-editor,HTML AI Diagram Editor,pulipuli-html-ai-diagram,source,active,active
html-anything,HTML Anything,nexu-html-anything,source,active,active
html-video,HTML Video,nexu-html-video,source,active,active
huashu-design,Huashu Design,huashu-design,source,active,active
hugoblox,HugoBlox,hugoblox-kit,architecture,active,active
human-control-plane,Human Control Plane,kevin-astuhuaman-control-plane,source,active,active
hycanvas,HyCanvas,hyscaler-hycanvas,source,active,active
hype,Hype,mweingartner-hype,source,active,active
hyperframes,HyperFrames,heygen-hyperframes,source,active,active
hyperplane,Hyperplane,hyperplane-html-design-canvas,architecture,active,active
i-love-agents,I Love Agents,aditthya-i-love-agents,source,active,active
ian-nuttall-skills,Ian Nuttall Skills,ian-nuttall-skills,source,active,active
icezone-studio,IceZone Studio,icezone-studio,source,active,active
icon-design,Icon Design,kalebtec-icon-design,source,active,active
ideaship,Ideaship,ideaship-product,source,active,active
idem,Idem,idem-team,source,active,active
image-ppt-king,Image-PPT-King,tate-image-ppt-king,source,active,active
image-split,Image Split,tate-image-split,source,active,active
image-svg-pptx-pro,Image SVG PPTX Pro,kongzhe-image-svg-pptx-pro,source,active,active
image-to-pptx,Image to PPTX,perpetual-image-to-pptx,source,active,active
image-to-svg,Image to SVG,zyipeng-image-to-svg,source,active,active
imagegen-pptx-pipeline,ImageGen PPTX Pipeline,eddy-imagegen-pptx,source,active,active
img2pptx,img2pptx,wenxuan-img2pptx,architecture,active,active
impeccable,Impeccable,pbakaus-impeccable,source,active,active
influencer-studio,Influencer Studio,influencer-studio-video,architecture,active,active
inkeep-agents,Inkeep Agents,inkeep-agents-platform,source,active,active
inlumen,inLUMEN,datapact-inlumen,source,active,active
insightiq,InsightIQ Marketing Studio,insightiq-marketing-studio,source,active,active
inspector,Inspector,inspector-visual-source-editor,architecture,active,active
instruckt,Instruckt,joshcirre-instruckt,source,active,active
integrated-saas-design-agent,Integrated SaaS Design Agent,ashish-integrated-design-agent,source,active,active
intellidraw,IntelliDraw,intellidraw-team,source,active,active
intent-design,Design with Intent,ghaida-intent,source,active,active
interactive-architecture-diagrams,Interactive Architecture Diagrams,konrad-architecture-diagrams,source,active,active
interview-forge,InterviewForge,azaddon-interview-forge,source,active,active
ios-design-agent-skill,iOS Design Agent Skill,josh-ios-design-skill,source,active,active
ipollowork,iPolloWork,devin-axis-ipollowork,source,active,active
ives,ives,antunes-ives,source,active,active
jaaz,Jaaz,jaaz-multimodal-canvas,source,active,active
jarvis-onshape-mcp,Jarvis Onshape MCP,reshef-jarvis-onshape-mcp,source,active,active
jeda,Jeda.ai,jeda-visual-ai-workspace,architecture,active,active
jenova,Jenova UI prototype generator,jenova-ui-agent,architecture,active,active
jezweb-claude-skills,Jezweb Claude Skills,jezweb-claude-skills,source,active,active
jithin-blender-skill,Blender Agent Skill by Jithin Joseph,jithin-blender-workflow,source,active,active
jmpy-me,JMPY.me,jmpy-link-qr-platform,architecture,active,active
jonfermin-cadsmith,Jon Fermin cadsmith,jon-cadsmith,source,active,active
joysafeter,JoySafeter,jd-joysafeter,source,active,active
jsdesign-ai,即时设计 AI,jsdesign-ai,architecture,active,active
k2-vibe,K2 Vibe,k2-vibe-hatif,source,active,active
kadnya,Kadnya,kadnya-builder-bridge,source,active,active
kami,Kami,tw93-kami,source,active,active
kanvas-obsidian,Kanvas,xmihura-kanvas,source,active,active
kedar-ai-workflow-studio,AI Workflow Studio by Kedar Vartak,kedar-vartak-workflow-studio,source,active,active
ki-stack,Ki-Stack,milind-ki-stack,source,active,active
kicad-agent-seahan,KiCad Schematic Design Skill by Seahan,han-kicad-agent,source,active,active
kicad-analysis-mcp,KiCad Analysis MCP,lamaalrajih-kicad-analysis,source,active,active
kicad-copilot,KiCad Copilot,biosshot-kicad-copilot,source,active,active
kicad-cursor,kicad-cursor,furedy-kicad-cursor,architecture,active,active
kicad-happy,KiCad Happy,aklofas-kicad-happy,source,active,active
kicad-mcp-pro,KiCad MCP Pro,osman-kicad-mcp-pro,source,active,active
kicad-mcp-server,KiCAD MCP Server,mixelpixx-kicad-mcp,source,active,active
kicad-pcba-engineering-skills,KiCad PCBA Engineering Skills,tsukimori-kicad-pcba,source,active,active
kicad-schematic-kenchan,kicad-schematic by Ken Chan,chan-kicad-schematic,source,active,active
kicad-skills-ipc,KiCad Skills with IPC API,hubert-kicad-ipc-skills,source,active,active
kicadai,KiCadAI,hills-kicadai,source,active,active
kiclaw,KiClaw,kiclaw-kiclaw,source,active,active
kimi-office,Kimi Docs Sheets and Slides,moonshot-kimi-office,architecture,active,active
kin3o,kin3o,affromero-kin3o,source,active,active
kintsugi,Kintsugi,veriteknik-kintsugi,source,active,active
kiskill,KiSkill,avatarsd-kiskill,source,active,active
kittl,Kittl,kittl-ai-design,architecture,active,active
knowforge,KnowForge,knowforge-team,source,active,active
knowledge-cat-ppt,Knowledge Cat PPT Skill,gnipbao-knowledge-cat-ppt,source,active,active
kombai,Kombai,kombai,architecture,active,active
konnect,Konnect,mixelpixx-konnect,source,active,active
kroneditor,KronEditor,kroneditor-team,source,active,active
kyh-ai-canvas,AI Canvas by Kaiyu Hsu,kaiyu-hsu-ai-canvas,source,active,active
landingforge,LandingForge,amarhouse-landingforge,source,active,active
langflow,Langflow,langflow-platform,source,active,active
lanhu-to-code,Lanhu to Code,ursazoo-lanhu-to-code,source,active,active
layer-first-raster-to-svg,Layer-First Raster to SVG,pipi-layer-first,source,active,active
layermate,Layermate,layermate-figma-agent,architecture,active,active
layout,Layout,layout-design-system-compiler,architecture,active,active
learnhouse,LearnHouse,learnhouse-team,source,active,active
ledgyx,Ledgyx,ineron-ledgyx,architecture,active,active
leon-ai-agent-builder,AI Agent Builder by Leon,leon-hypers-agent-builder,source,active,active
lgazo-drawio-mcp,Ladislav Gazo Draw.io MCP Server,lgazo-drawio-mcp,source,active,active
lineforge,lineforge,rfingadam-lineforge,source,active,active
litho,Litho,litho-team,source,active,active
live-diagramming-copilot,Live Diagramming Copilot,live-diagramming-team,source,active,active
livediagram,LiveDiagram,livediagram-team,source,active,active
llm-website-generator-yuzai,LLM Website Generator by Yuzai Akira,yuzai-llm-site-generator,source,active,active
llmo-diagram-generator,LLMO AI Diagram Architect,nova-llmo,source,active,active
local-design-canvas,Local Design Canvas,nguyen-local-design-canvas,source,active,active
local-visual-agent-workflow,Local Visual Agent Workflow,amitesh-local-workflow,source,active,active
localoffice,LocalOffice,zohaib-localoffice,source,active,active
locofy,Locofy,locofy-design-to-code,architecture,active,active
logo-generator-skill,Logo Generator,guicang-logo-generator,source,active,active
loom-architecture,Loom Architecture Weaver,flyingcat-loom,source,active,active
loomic,Loomic,fancyboi999-loomic,source,active,active
lovable,Lovable,lovable,architecture,active,active
lovart,Lovart,lovart-chatcanvas,architecture,active,active
luma-ai-studio,LUMA AI Studio,krishal-luma,source,active,active
lunima,Lunima,aignermax-lunima,source,active,active
lzbot-5000,LZBot 5000,lzbot-5000-team,source,active,active
m2-canvas,M2 Canvas,m2-code-component-canvas,architecture,active,active
maf-agent-builder-canvas,MAF Agent Builder Canvas,dcnsakthi-maf-canvas,source,active,active
magic-patterns,Magic Patterns,magic-patterns,architecture,active,active
magicpath,MagicPath,newcompute-magicpath,architecture,active,active
make-my-website-ai,MakeMyWebsite AI,make-my-website-ai,source,active,active
manalkaff-opendesign,OpenDesign by Manal Kaff,manal-opendesign,source,active,active
manim-agent,Manim Explainer Agent,murtaza-manim-agent,source,active,active
markdown-exporter,Markdown Exporter,bowen-markdown-exporter,source,active,active
markdownflows,MarkdownFlows,dotnetfactory-markdownflows,source,active,active
marmo-ui,Marmo UI,marmoui-agent-system,source,active,active
marp-slides-template,Marp Slides Template,marp-template-team,source,active,active
mash-kicad-skills,KiCad Skills by mash,ohtsuka-kicad-skills,source,active,active
massing,Massing,ibuilder-massing,source,active,active
master-ai-design-system,Master AI Design System,mohamed-master-ai-design-system,source,active,active
master-canvas,Master Canvas,wasserman-master-canvas,source,active,active
mastergo-ai,MasterGo AI,mastergo-ai,architecture,active,active
mcp-cad,mcp-cad,andiveli-mcp-cad,source,active,active
mcp-cst-studio,mcp-cst-studio,rfingadam-cst-studio,source,active,active
mcp-excalidraw,mcp_excalidraw,yctimlin,source,active,active
mcp-link-fusion,MCP-Link for Autodesk Fusion,aura-mcp-link-fusion,source,active,active
mcp-ltspice-qucs,mcp-ltspice-qucs,rfingadam-ltspice-qucs,source,active,active
mcp-nec2-antenna,mcp-nec2-antenna,rfingadam-nec2,source,active,active
mcp-openems,mcp-openems,rfingadam-openems,source,active,active
mcp-pcb-emcopilot,mcp-pcb-emcopilot,rfingadam-pcb-emcopilot,source,active,active
