slug,product,organization,product_form,evidence_depth,layer,basis
ai-parametric-cad,AI Parametric CAD Generator,zakpro786,ai-engineering-design-workspace,source,H2,pattern
ai-prototyper,AI Prototyper,ai-prototyper-research,agent-controllable-canvas,source,H2,pattern
ai-react-component-generator-amit,AI React Component Generator by Amit Nandan,amit-nandan,standalone-design-agent,source,H2,personal/community org (amit-nandan)
ai-revit-family-maker,AI Revit Family Maker,blueray32,ai-engineering-design-workspace,source,H2,pattern
ai-shortfilm-studio,AI Shortfilm Studio,dcongthinh,agent-controllable-canvas,source,H2,pattern
ai-slide-editor,AI Slide Editor,strgfjojo,standalone-design-agent,source,H2,override:个人开源会话式 PPT 场景图编辑应用，可自行部署。
ai-ui-builder-akshay,AI UI Builder by Akshay Chaulya,akshay-chaulya,standalone-design-agent,source,H2,personal/community org (akshay-chaulya)
ai-ui-builder-beingshappy,AI UI Builder by beingshappy,beingshappy,standalone-design-agent,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
ai-ui-builder-devdiego,AI UI Builder by Diego Perez,diego-perez,standalone-design-agent,source,H2,personal/community org (diego-perez)
ai-ui-builder-eptura,AI UI Builder by Alexandr Davydov,alexandr-davydov,standalone-design-agent,source,H2,personal/community org (alexandr-davydov)
ai-ui-builder-isvaku,AI UI Builder by Rigoberto Quezada,rigoberto-quezada,ai-app-site-builder,source,H2,personal/community org (rigoberto-quezada)
ai-ui-builder-kiryuchi,AI-Powered UI Builder by kiryuchi10,kiryuchi10,code-native-visual-ide,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
ai-ui-builder-merchantry,AI UI Builder by Merchantry,merchantry,standalone-design-agent,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
ai-ui-builder-sharadpatil,AI UI Builder by Sharad Patil,sharadpatil1415,standalone-design-agent,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
ai-ui-components-generator-thegreatbonnie,AI-Powered UI Components Generator,thegreatbonnie,standalone-design-agent,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
ai-ui-generator,AI UI Generator / Design Engine,dhruv-suyal,standalone-design-agent,source,H2,personal/community org (dhruv-suyal)
ai-ui-generator-deepanshu,AI UI Generator by Deepanshu Sharma,deepanshu-sharma,standalone-design-agent,source,H2,personal/community org (deepanshu-sharma)
ai-ui-generator-dhruv,AI UI Generator by Dhruv Jain,dhruv-jain,standalone-design-agent,source,H2,personal/community org (dhruv-jain)
ai-ui-generator-harshi,AI UI Generator by Harshi,harshi0505,code-native-visual-ide,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
ai-ui-generator-kahab,AI UI Generator by Mohammed Kahab,mohammed-kahab,standalone-design-agent,source,H2,personal/community org (mohammed-kahab)
ai-ui-generator-mohit,AI UI Generator by Mohit Aggarwal,mohit-aggarwal,standalone-design-agent,source,H2,personal/community org (mohit-aggarwal)
ai-ui-generator-mondo,AI UI Generator by Mohannad Abdelrazek,mohannad-abdelrazek,standalone-design-agent,source,H2,personal/community org (mohannad-abdelrazek)
ai-ui-generator-yash,AI UI Generator by yashsaini0759,yashsaini0759,standalone-design-agent,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
ai-ui-style-director,AI UI Style Director,bayes-wang,standalone-design-agent,source,H2,personal/community org (bayes-wang)
ai-ui-table-generator-dladislav,AI UI Table Generator,vladyslav-dobrodii,standalone-design-agent,source,H2,personal/community org (vladyslav-dobrodii)
ai-ux-writer,AI UX Writer,ai-ux-writer,agent-controllable-canvas,architecture,H2,pattern
ai-voice-page-builder-graeber,AI Voice Page Builder,graeberj,standalone-design-agent,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
ai-web-app-builder-mazzyy,AI Web App Builder by Abdul Musawar,abdul-musawar,ai-app-site-builder,source,H2,personal/community org (abdul-musawar)
ai-web-app-builder-shubha,AI-Powered Web App Builder by Shubha,shubha229,ai-app-site-builder,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
ai-webpage-generator-achua,AI Webpage Generator by Achuajays,achuajays,ai-app-site-builder,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
ai-webpage-generator-pa741,AI Webpage Generator by Pablo de Groot,pablo-de-groot,ai-app-site-builder,source,H2,personal/community org (pablo-de-groot)
ai-webpage-generator-pavan,AI Webpage Generator by Pavan Kumar,pavan-kumar,ai-app-site-builder,source,H2,personal/community org (pavan-kumar)
ai-website-builder-bonifacio,AI Website Builder by Bonifacio Calindoro,bonifacio-calindoro,ai-app-site-builder,source,H2,personal/community org (bonifacio-calindoro)
ai-website-builder-builtbyv,AI Website Builder by V,builtbyv,general-agent-visual-tools,source,H2,pattern
ai-website-builder-chitransh,AI Website Builder by Chitransh Chocksey,chitransh-chocksey,standalone-design-agent,source,H2,personal/community org (chitransh-chocksey)
ai-website-builder-dennis,AI Website Builder by Dennis Faucher,dennis-faucher,ai-app-site-builder,source,H2,personal/community org (dennis-faucher)
ai-website-builder-firefetch,AI Website Builder by Firefetch,firefetch,agent-platform-design-surface,source,H2,pattern
ai-website-builder-krishna,AI Website Builder by Krishna Paralkar,krishna-paralkar,ai-app-site-builder,source,H2,personal/community org (krishna-paralkar)
ai-website-builder-lab1207,AI Website Builder by Vaibhav Hajare,vaibhav-hajare,ai-app-site-builder,source,H2,personal/community org (vaibhav-hajare)
ai-website-builder-lucas,AI Website Builder by Lucas H507,lucash507,ai-app-site-builder,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
ai-website-builder-markec,AI Website Builder by markec12345678,markec12345678,standalone-design-agent,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
ai-website-builder-mohammad,AI Website Builder by Mohammad Armaan,mohammad-armaan,ai-app-site-builder,source,H2,personal/community org (mohammad-armaan)
ai-website-builder-ratna,AI-Powered Website Builder by Ratna Babu,ratna-babu,ai-app-site-builder,source,H2,personal/community org (ratna-babu)
ai-website-builder-safwan,AI Website Builder by Safwan Hanif,safwan-hanif,ai-app-site-builder,source,H2,personal/community org (safwan-hanif)
ai-website-builder-shekhbasir,AI Website Builder by Shekh Basir,shekh-basir,ai-app-site-builder,source,H2,personal/community org (shekh-basir)
ai-website-builder-subrata,AI Website Builder by Subrata Ghosh,subrata-ghosh,ai-app-site-builder,source,H2,personal/community org (subrata-ghosh)
ai-website-builder-vardhan,AI Website Builder by Vardhan V,vardhan-v,ai-app-site-builder,source,H2,personal/community org (vardhan-v)
ai-website-builder-vijay,AI Website Builder by Vijay Kusekar,vijay-kusekar,ai-app-site-builder,source,H2,personal/community org (vijay-kusekar)
ai-website-builder-zaran,AI Website Builder by Zyra,zyra-ai-assistant,ai-app-site-builder,source,H2,personal/community org (zyra-ai-assistant)
ai-website-generator-aditya-umale,AI Website Generator by Aditya Umale,aditya-umale,ai-app-site-builder,source,H2,personal/community org (aditya-umale)
ai-website-generator-aifeifei,AI Website Generator by aifeifei798,aifeifei798,ai-app-site-builder,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
ai-website-generator-dhanu7789,AI Website Generator by Dhanu7789,dhanu7789,ai-app-site-builder,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
ai-website-generator-gokulbits,AI Website Generator by GokulBits18,gokulbits,standalone-design-agent,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
ai-website-generator-gururaj,AI Website Generator by GururajCharan,gururaj-charan,ai-app-site-builder,source,H2,personal/community org (gururaj-charan)
ai-website-generator-jordan,AI Website Generator by Jordan D'Souza,jordan-dsouza,ai-app-site-builder,source,H2,personal/community org (jordan-dsouza)
ai-website-generator-kpriya,AI Website Generator by Krishna Priya,krishna-priya,ai-app-site-builder,source,H2,personal/community org (krishna-priya)
ai-website-generator-louvivien,AI Website Generator by Louvivien,louvivien,ai-app-site-builder,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
ai-website-generator-maurya,AI Website Generator by Maurya Patel,maurya-patel,code-native-visual-ide,source,H2,personal/community org (maurya-patel)
ai-website-generator-nithin,AI Website Generator by Nithin1616,nithin1616,ai-app-site-builder,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
ai-website-generator-pappu,AI Website Generator by Pappu Kumar,pappu-kumar,ai-app-site-builder,source,H2,personal/community org (pappu-kumar)
ai-website-generator-praneet,AI Website Generator by Praneet Biswal,praneet-biswal,ai-app-site-builder,source,H2,personal/community org (praneet-biswal)
ai-website-generator-rishi,AI Website Generator by Rishikesh Ugale,rishikesh-ugale,ai-app-site-builder,source,H2,personal/community org (rishikesh-ugale)
ai-website-generator-shaxx,AI Website Generator by Shaxxshankari,shaxxshankari,ai-app-site-builder,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
ai-website-generator-shrik4,AI Website Generator by shrik4,shrik4,ai-app-site-builder,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
ai-website-generator-shrutika,AI Website Generator by Shrutika Kapade,shrutika-kapade,ai-app-site-builder,source,H2,personal/community org (shrutika-kapade)
ai-website-generator-shubh,AI Website Generator by shubharthaksangharsha,shubharthak-sangharsha,ai-app-site-builder,source,H2,personal/community org (shubharthak-sangharsha)
ai-website-generator-tayyabeh,Agentic AI Website Builder by Tayyab Ellahi,tayyab-ellahi,ai-app-site-builder,source,H2,personal/community org (tayyab-ellahi)
ai-website-generator-tony,AI-Powered Website Generator by Tony-VBB,tony-vbb,ai-app-site-builder,source,H2,personal/community org (tony-vbb)
ai-website-generator-tulsi,AI Website Generator by Tulsi Pandey,tulsi-pandey,ai-app-site-builder,source,H2,personal/community org (tulsi-pandey)
ai-website-generator-varun,AI Website Generator by Varun Sharma,varun-sharma,code-native-visual-ide,source,H2,personal/community org (varun-sharma)
ai-workflow-automation-vmk,AI Workflow Builder Platform by VMK-004,vmk-004,ai-engineering-design-workspace,source,H2,pattern
ai-workflow-builder-anshii,AI Workflow Builder by Anshi Jain,anshii-jain,ai-engineering-design-workspace,source,H2,pattern
ai-workflow-builder-fuleinist,ai-workflow-builder by fuleinist,fuleinist,design-code-bridge,source,H2,pattern
ai-workflow-builder-nids12,AI Workflow Builder by Nidhi Sarda,nids12,ai-engineering-design-workspace,source,H2,pattern
ai-workflow-builder-sanket-hatti,AI Agent Workflow Builder by Sanket Hatti,sanket-hatti,agent-platform-design-surface,source,H2,pattern
ai-workflow-builder-sneha-chaurasia,AI Workflow Builder by Sneha Chaurasia,sneha-chaurasia,design-code-bridge,source,H2,pattern
ai-workflow-builder-subham-mohanta,AI Workflow Builder by Subham Mohanta,subham-mohanta,agent-platform-design-surface,source,H2,pattern
ai-workflow-builder-toobahasnain,AI Workflow Builder by Syeda Tooba Hasnain,toobahasnain,agent-controllable-canvas,source,H2,pattern
ai-workflow-builder-upinder28,AI Workflow Builder by Upinder Kaur,upinder28,agent-platform-design-surface,source,H2,pattern
ai-workflow-demilade,AI Workflow Builder by Demilade01,demilade01,ai-engineering-design-workspace,source,H2,pattern
ai-workflow-tim-wijma,AI Workflow Builder by Tim Wijma,tim-wijma,ai-engineering-design-workspace,source,H2,pattern
ai2ui-component-generator,AI2UI Component Generator,yuvalsuede,standalone-design-agent,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
aidemyst-agentstudio,Aidemyst AgentStudio,aidemyst,ai-engineering-design-workspace,source,H2,pattern
aihouse,AIHouse,aihouse,ai-engineering-design-workspace,architecture,H2,pattern
ainaming,AINaming,donghuc,agent-controllable-canvas,source,H2,pattern
aionui,AionUi,iofficeai,agent-platform-design-surface,source,H2,pattern
aios,AIOS,harshchavan009,ai-engineering-design-workspace,source,H2,pattern
aispirit-agent,AISpirit Agent,aispiritlabs,ai-engineering-design-workspace,source,H2,pattern
aiwebgenerator-kuroda,AIWebGenerator by Kuroda Kayn,kuroda-kayn,ai-app-site-builder,source,H2,personal/community org (kuroda-kayn)
akcli,akcli,li-ching-yu,ai-engineering-design-workspace,source,H2,pattern
akn-website-generator,AKN AI Website Generator,akn-code,ai-app-site-builder,source,H2,personal/community org (akn-code)
ako-visual-design-agent,AKO Visual Design Agent,ako-studio,general-agent-visual-tools,source,H2,pattern
algocraft,AlgoCraft,nick-the-legend,code-native-visual-ide,source,H2,personal/community org (nick-the-legend)
alice-sdf,ALICE-SDF,ext-sakamoro,ai-engineering-design-workspace,source,H2,pattern
alwaysblue,AlwaysBlue,rashed-hasan,ai-app-site-builder,source,H2,personal/community org (rashed-hasan)
amaroad,Amaroad,core-inc,code-native-visual-ide,source,H2,personal/community org (core-inc)
ams-io-agent,AMS-IO-Agent,arcadia-1,ai-engineering-design-workspace,source,H2,pattern
anima,Anima,anima,design-code-bridge,architecture,H2,pattern
aniya-studio,Aniya Studio,yizhian,standalone-design-agent,source,H2,override:Apache-2.0 自托管 HTML 演示编辑器，个人维护开源应用。
anti-ai-design,anti-ai-design,huyhoangnhh98,general-agent-visual-tools,source,H2,pattern
antv-infographic,AntV Infographic,antv,visual-editor-infrastructure,source,H2,pattern
apo,Apo,shaurya-gupta,agent-platform-design-surface,source,H2,pattern
app-club-design,App Club Design,app-club-design,agent-controllable-canvas,source,H2,pattern
app-store-screenshots,App Store Screenshots,parth-jadhav,code-native-visual-ide,source,H2,personal/community org (parth-jadhav)
appautomaton-presentation,App Automaton Presentation,app-automaton,standalone-design-agent,source,H2,personal/community org (app-automaton)
appfromai,AppFromAI,biosbrick,ai-app-site-builder,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
appiav2,AppiaV2,morningstar,ai-app-site-builder,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
appmaker,AppMaker,philippos-ktistakis,ai-app-site-builder,source,H2,personal/community org (philippos-ktistakis)
archgen,ArchGen,archgen,ai-engineering-design-workspace,architecture,H2,pattern
archie-ea,Archie,anioko,ai-engineering-design-workspace,source,H2,pattern
archiflow,ArchiFlow,pabasara-palihena,agent-controllable-canvas,source,H2,pattern
archify,Archify,tt-a1i,agent-platform-design-surface,source,H2,pattern
archigen,ArchiGen,adarsh-puri,agent-controllable-canvas,source,H2,pattern
archischema,Archischema,c0st1nus,established-visual-platform,source,H2,override:开源 schema 设计环境（Rust/Leptos），个人维护。
architechtures,ARCHITEChTURES,architechtures,ai-engineering-design-workspace,architecture,H2,pattern
architect-studio-x,Architect Studio X,balchandar,agent-controllable-canvas,source,H2,pattern
architecture-drawio-automation,Architecture Draw.io Automation,debajyoti-mukhopadhyay,design-code-bridge,source,H2,pattern
archon-workflows,Archon by Cole Medin,cole-medin,ai-engineering-design-workspace,source,H2,pattern
archondev,ArchonDev,archondev,general-agent-visual-tools,architecture,H2,pattern
arckit,ArcKit,tractorjuice,general-agent-visual-tools,source,H2,pattern
argus-sammy,Argus by Sammy Tourani,sammy-tourani,ai-app-site-builder,source,H2,personal/community org (sammy-tourani)
artifex-ui-generator,Artifex UI Generator,fujitsu11,standalone-design-agent,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
artiso,ARTISO,artiso,ai-engineering-design-workspace,architecture,H2,pattern
asciitecture,Asciitecture,anima-digital-solutions,general-agent-visual-tools,source,H2,pattern
astron-rpa,Astron RPA,iflytek,ai-engineering-design-workspace,source,H2,pattern
atlas-3d-design,Atlas 3D Design Team,monumental-systems,general-agent-visual-tools,architecture,H2,pattern
atlas-design-ux,Atlas Design UX Team,monumental-systems,general-agent-visual-tools,architecture,H2,pattern
atomic-component-generator,Atomic Component Generator,alexander-burgos,agent-controllable-canvas,architecture,H2,pattern
atv-design,ATV Design,all-the-vibes,standalone-design-agent,source,H2,personal/community org (all-the-vibes)
aura-ai-workflow-builder,Aura AI Workflow Builder,surabhi2408,agent-controllable-canvas,source,H2,pattern
aurelius,Aurelius,pmds,agent-platform-design-surface,source,H2,pattern
auricide,AuricIDE,jorg-amelunxen,agent-platform-design-surface,source,H2,pattern
auteur,auteur,agi-white-list,general-agent-visual-tools,source,H2,pattern
author-autograph,Author,autograph,agent-platform-design-surface,source,H2,pattern
auto-slides,Auto-Slides,westlake-university,standalone-design-agent,source,H2,personal/community org (westlake-university)
autockt,AutoCkt,autockt,ai-engineering-design-workspace,source,H2,pattern
autodesk-flow-studio,Autodesk Flow Studio,autodesk,ai-engineering-design-workspace,architecture,H2,pattern
autogpt,AutoGPT Platform,autogpt,ai-engineering-design-workspace,source,H2,pattern
awesome-design-extractor,Awesome Design Extractor,myoji,design-code-bridge,source,H2,pattern
aws-deploy-on-aws,AWS Deploy on AWS plugin,aws-labs,general-agent-visual-tools,source,H2,pattern
ayushi-ai,Ayushi.AI,harsh-rawat,ai-app-site-builder,source,H2,personal/community org (harsh-rawat)
bambu-studio-ai,Bambu Studio AI,yixuan-he,ai-engineering-design-workspace,source,H2,pattern
baoyu-design,baoyu-design,jim-liu,standalone-design-agent,source,H2,personal/community org (jim-liu)
behavr,Behavr,behavr,visual-decision-verification-workspace,architecture,H2,pattern
better-design,Better Design,better-design,general-agent-visual-tools,architecture,H2,pattern
better-web-ui,better-web-ui,filip-aladic,general-agent-visual-tools,source,H2,pattern
bezi,Bezi,bezi,agent-platform-design-surface,architecture,H2,pattern
bigbangdev,bigbangdev,ximanta,ai-app-site-builder,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
bitfun,BitFun,gcwing,general-agent-visual-tools,source,H2,pattern
blade,Blade,razorpay,design-code-bridge,source,H2,pattern
blender-orchestrator,Agentic Blender Orchestrator,matt-olson,agent-controllable-canvas,source,H2,pattern
blender-scene-agent,Blender Scene Agent,david-rousset,standalone-design-agent,source,H2,personal/community org (david-rousset)
blockout,Blockout,sam-wasserman,standalone-design-agent,source,H2,personal/community org (sam-wasserman)
bloxai,BloxAI,subhadeep-roy,established-visual-platform,source,H2,personal/community org (subhadeep-roy)
bluelens,BlueLens,nathan-kamokoue,visual-decision-verification-workspace,source,H2,pattern
bluestone-ai-jewelry-prototype,BlueStone AI Jewelry Prototype,shivam-mishra,standalone-design-agent,source,H2,personal/community org (shivam-mishra)
bmad-slide-maker,BMAD Slide Maker,bmad-labs,standalone-design-agent,source,H2,personal/community org (bmad-labs)
bmad-slides-generator,BMAD Slides Generator,bmad-labs,standalone-design-agent,architecture,H2,personal/community org (bmad-labs)
bolt-website-maker-jagdish,BOLT AI Website Builder by Jagdish Suthar,jagdishsuthar1,ai-app-site-builder,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
boutiqaat-creative-studio,Boutiqaat Creative Studio,boutiqaat-studio,standalone-design-agent,source,H2,personal/community org (boutiqaat-studio)
brainfuel-agent-builder,Brainfuel Agent Builder,brainfuel,ai-engineering-design-workspace,source,H2,pattern
brand-booklet,Brand Booklet,tillmann-vey,general-agent-visual-tools,source,H2,pattern
brand-docs,BrandDocs,ferdinando-bonsegna,general-agent-visual-tools,source,H2,pattern
brand-manual-app,Brand Manual App,admin-blip7,standalone-design-agent,source,H2,override:覆盖 Web 工作区应用（模块加阶段门控加 Supabase 持久化），个人开源项目。
brawt,brawt,brawt,agent-controllable-canvas,source,H2,pattern
brilliant-design,Brilliant,brilliant,agent-controllable-canvas,architecture,H2,pattern
brokieai,BrokieAI,magicred-1,ai-engineering-design-workspace,source,H2,pattern
build123d-cad,build123d-cad,baibai2013,ai-engineering-design-workspace,source,H2,pattern
buildable,Buildable,buildable-contributors,agent-platform-design-surface,source,H2,pattern
buildcad,BuildCAD,buildcad,ai-engineering-design-workspace,architecture,H2,pattern
builderai-raj,BuilderAI by Raj Patel,raj-patel,ai-app-site-builder,source,H2,personal/community org (raj-patel)
builderweb,BuilderWeb,abdullah-shahid,established-visual-platform,source,H2,personal/community org (abdullah-shahid)
buildev,Buildev,bryxnn,agent-controllable-canvas,source,H2,pattern
buildev-isjunrod,Buildev by Jun Rod,jun-rod,agent-controllable-canvas,source,H2,pattern
buildflow3,Buildflow3,choice-to-shorts,code-native-visual-ide,source,H2,personal/community org (choice-to-shorts)
buildgraph,BuildGraph,muhamadbyaba,ai-engineering-design-workspace,source,H2,pattern
buildify-pragya,Buildify by Pragya Manna,pragya-manna,ai-app-site-builder,source,H2,personal/community org (pragya-manna)
buildora-ai-studio,Buildora AI Studio,adithya-tb,ai-app-site-builder,source,H2,personal/community org (adithya-tb)
buildrx,BuildRx,mabrig1,ai-app-site-builder,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
bunyan,Bunyan,bunyan,ai-engineering-design-workspace,architecture,H2,pattern
burhan-ai-workflow-builder,AI Workflow Builder by Burhan086,burhan086,ai-engineering-design-workspace,source,H2,pattern
burnguard-design,BurnGuard Design,ashmoonori-afk,standalone-design-agent,source,H2,personal/community org (ashmoonori-afk)
bux,BUX,bux,agent-controllable-canvas,architecture,H2,pattern
buzz-workspace,Buzz,block,agent-platform-design-surface,source,H2,pattern
buzzy,Buzzy,buzzy,design-code-bridge,architecture,H2,pattern
cad-agent,CAD Agent,svetlana-dao,ai-engineering-design-workspace,source,H2,pattern
cad-cae-copilot,CAD CAE Copilot,armpro24,ai-engineering-design-workspace,source,H2,pattern
cad-coworker,CAD Coworker,karaage0703,visual-editor-infrastructure,source,H2,pattern
cad-gpt-cap,CAP / CAD-GPT,blueasuka,ai-engineering-design-workspace,source,H2,pattern
cad-khana,CAD Khana,cyberchitta,ai-engineering-design-workspace,source,H2,pattern
cad-solver,CAD Solver,valentil,ai-engineering-design-workspace,source,H2,pattern
cadcursor,CadCursor,cadcursor,ai-engineering-design-workspace,architecture,H2,pattern
caddesigner,CADDesigner,zhejiang-university,ai-engineering-design-workspace,source,H2,pattern
cadens,Cadens,tofulabai,agent-platform-design-surface,architecture,H2,pattern
cadsmith,CADSmith,jesse-barkley,ai-engineering-design-workspace,source,H2,pattern
cae-agent-hub,CAE Agent Hub,cai-aa,ai-engineering-design-workspace,source,H2,pattern
calicat,Calicat,beijing-damaidi,established-visual-platform,architecture,H2,personal/community org (beijing-damaidi)
calino,Calino,achmad-alimin,agent-controllable-canvas,architecture,H2,pattern
candor,Candor,candor,visual-decision-verification-workspace,architecture,H2,pattern
canvas-ai-migrations,Canvas AI Migrations,alphons-jaimon,ai-engineering-design-workspace,source,H2,pattern
canvas-copilot-penpot,Canvas Copilot for Penpot,gede-sudimahendra,agent-controllable-canvas,source,H2,pattern
canvoss,Canvoss,shashank-bhat,visual-editor-infrastructure,source,H2,pattern
careervivid,CareerVivid,dbt-snowflake-u,standalone-design-agent,source,H2,personal/community org (dbt-snowflake-u)
cc-design,cc-design,zeroz-lab,general-agent-visual-tools,source,H2,pattern
chatbotx,ChatbotX,chatbotx,ai-engineering-design-workspace,source,H2,pattern
chatdev,ChatDev 2.0 and DevAll,openbmb,ai-engineering-design-workspace,source,H2,pattern
chili-chiplets,Chili Chiplets,chili-chiplets,ai-engineering-design-workspace,source,H2,pattern
chilldeck,ChillDeck,isha-upadhyay,standalone-design-agent,source,H2,personal/community org (isha-upadhyay)
chip,CHIP,elleta-mcdaniel,visual-decision-verification-workspace,source,H2,pattern
chipster,Chipster,bandung-institute-of-technology,ai-engineering-design-workspace,source,H2,pattern
cicada,CICADA,peng-ding,ai-engineering-design-workspace,source,H2,pattern
circle-take,Circle Take,sam-wasserman,visual-decision-verification-workspace,source,H2,pattern
circuit-weaver,Circuit Weaver,matt-painter,ai-engineering-design-workspace,source,H2,pattern
clai,Clai,eric-lee,standalone-design-agent,source,H2,personal/community org (eric-lee)
claraverse,ClaraVerse,claraverse,agent-platform-design-surface,source,H2,pattern
claude-code-game-studios,Claude Code Game Studios,donchitos,agent-platform-design-surface,source,H2,pattern
claude-code-video-toolkit,Claude Code Video Toolkit,digital-samba,general-agent-visual-tools,source,H2,pattern
claude-code-workflows,OneRedOak Claude Code Workflows,one-red-oak,general-agent-visual-tools,source,H2,pattern
claude-cowork-office,Claude Cowork for Office,cowork-studio,general-agent-visual-tools,source,H2,pattern
claude-design-system-prompt,Claude Design System Prompt,trystan-sa,general-agent-visual-tools,source,H2,pattern
claude-eda,claude-eda,l3wi,general-agent-visual-tools,source,H2,pattern
claude-figma-kit,Claude Figma Kit,tuanna,agent-controllable-canvas,source,H2,pattern
claude-talk-to-figma-arinspunk,AI Agents Talk to Figma MCP,xulio-ze,agent-controllable-canvas,source,H2,pattern
claude-terminal,Claude Terminal,sterll,agent-platform-design-surface,source,H2,pattern
claude-to-print,Claude-To-Print,oz-ai,ai-engineering-design-workspace,source,H2,pattern
claude2figma,Claude2Figma,senlin-design,design-code-bridge,source,H2,pattern
claudekit-marketing,ClaudeKit Marketing,claudekit-marketing,general-agent-visual-tools,source,H2,pattern
clawphd,ClawPhD,zhihao-ai-robotic,standalone-design-agent,source,H2,personal/community org (zhihao-ai-robotic)
clean-vector-reconstruction,Clean Vector Reconstruction,lixin-design,standalone-design-agent,source,H2,personal/community org (lixin-design)
clearly,Clearly,clearly,agent-controllable-canvas,architecture,H2,pattern
cli-anything,CLI-Anything,hkuds,general-agent-visual-tools,source,H2,pattern
clientsight-gazebuilder,ClientSight / GazeBuilder,clientsight-gazebuilder-team,ai-app-site-builder,source,H2,personal/community org (clientsight-gazebuilder-team)
cloud-architecture-diagrams,Cloud Architecture Diagrams,hansraj-singh-thakur,agent-platform-design-surface,source,H2,pattern
cloud-visualizer-pro,Cloud Visualizer Pro,error505,ai-engineering-design-workspace,source,H2,pattern
cloudarchgen,CloudArchGen,jai-deep,ai-engineering-design-workspace,source,H2,pattern
cloudmap,CloudMap,zeradam-fantaye,ai-engineering-design-workspace,source,H2,pattern
clypra,Clypra,aiera-dev,established-visual-platform,source,H2,personal/community org (aiera-dev)
co-design-canvas,Co-Design Canvas,utopia5327,standalone-design-agent,source,H2,override:历史开源原型项目（建筑/城市协同设计），非论文、非托管服务。
cobra-ai-2,Cobra AI 2.0,harsh-pandey,ai-app-site-builder,source,H2,personal/community org (harsh-pandey)
code2video,Code2Video,show-lab,standalone-design-agent,source,H2,personal/community org (show-lab)
codeboarding,CodeBoarding,codeboarding,agent-platform-design-surface,source,H2,pattern
codeck,Codeck,codequest,code-native-visual-ide,source,H2,override:开源的 macOS 原生 Markdown 演示编辑器应用，MCP 为其组件。
codecooks,CodeCooks,codecooks-team,ai-app-site-builder,source,H2,personal/community org (codecooks-team)
codejet,Codejet,codejet,design-code-bridge,architecture,H2,pattern
coderocket,CodeRocket,elreco,ai-app-site-builder,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
coderx,CoderX,narayaaana11,code-native-visual-ide,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
codeui-paurakh,CODEUI,paurakh-pyakurel,ai-app-site-builder,source,H2,personal/community org (paurakh-pyakurel)
codewiki,CodeWiki,fsoft-ai4code,agent-platform-design-surface,source,H2,pattern
codex-game-studio,Codex Game Studio,jackli12,agent-platform-design-surface,architecture,H2,pattern
codex-slides,Codex Slides,nexu-io,standalone-design-agent,source,H2,personal/community org (nexu-io)
codey,Codey,hamza-amir,ai-app-site-builder,source,H2,personal/community org (hamza-amir)
codigram,Codigram,m-ahmad-butt,standalone-design-agent,source,H2,personal/community org (m-ahmad-butt)
comfyui-workflow-studio,ComfyUI Workflow Studio,ketle-man,agent-platform-design-surface,source,H2,pattern
comp-gen-aditya,Comp-gen by Aditya Singh Gautam,aditya-singh-gautam,code-native-visual-ide,source,H2,personal/community org (aditya-singh-gautam)
composeflow,ComposeFlow,composeflow,ai-app-site-builder,source,H2,override:个人或社区维护、可自托管部署的开源项目（复核汇总）
consulting-deck,Consulting Deck,zairui-lab,standalone-design-agent,source,H2,personal/community org (zairui-lab)
contentkit,ContentKit,intersections-design-lab,agent-controllable-canvas,architecture,H2,pattern
contextcypher,ContextCypher,threat-vector-security,ai-engineering-design-workspace,source,H2,pattern
