slug,product,organization,evidence_depth,lifecycle
extract-design-system,extract-design-system,arvind-kishore,source,active
multi-agent-cad,Multi-Agent CAD,pan-chera,source,active
forma-ai-service,Forma AI Agent Service,andreyka,source,active
cicada,CICADA,peng-ding,source,active
millwright,Millwright,raylan-lin,source,active
spark-to-paper-skills,spark-to-paper-skills,vast-intelligence-lab,source,active
nature-skills,nature-skills,nature-skills,source,active
circuit-weaver,Circuit Weaver,matt-painter,source,active
image-to-svg,Image to SVG,zyipeng,source,active
figedit,FigEdit,giszzt,source,active
image-to-shape-safe-svg,Image to Shape-Safe SVG,perpetualhui,source,active
image-to-pptx,Image to PPTX,perpetualhui,source,active
figma-editable-dashboard-skill,Figma Editable Dashboard Skill,fazal-shah,source,active
nature-figure-studio,Nature Figure Studio,chenyuanfan,source,active
scifig,SciFig,scifig,architecture,active
subcortex-visualization-skill,Subcortex Visualization Skill,ma-qi,source,active
svg-icon-skills,SVG Icon Skills,muxia0396,source,active
svg-factory,SVG Factory,abdygaziev,source,active
svg-creation-skill,SVG Creation Skill,itayfi,source,active
ian-nuttall-skills,Ian Nuttall Skills,ian-nuttall,source,active
proofshot,ProofShot,proofshot,source,active
game-creator,game-creator,playable-intelligence,source,active
work-with-design-systems,work-with-design-systems,natdexterra,source,active
design-system-extraction,Design System Extraction Skill,tuotuo,source,active
design-system-builder,Design System Builder,signer-labs,source,active
d2c,d2c,d2c-ai,source,active
claude-figma-kit,Claude Figma Kit,tuanna,source,active
ui-from-references,UI from References,jetray33,source,active
prd-to-ui-automation-agent,PRD to UI Automation Agent,loinz-max,source,active
agentic-ui-design-poc,Agentic UI Design Workflow POC,ramadhani-wasil,source,active
claude-to-print,Claude-To-Print,oz-ai,source,active
resource2skill,Resource2Skill,microsoft,source,active
image-svg-pptx-pro,Image SVG PPTX Pro,kongzhe,source,active
consulting-deck,Consulting Deck,zairui-lab,source,active
appautomaton-presentation,App Automaton Presentation,app-automaton,source,active
presentation-skill,Presentation Skill,siril,source,active
image-ppt-king,Image-PPT-King,tate-zhou-siu,source,active
imagegen-pptx-pipeline,ImageGen PPTX Pipeline,eddy-zhang,source,active
pradaslides,PradaSlides,prodige-project,architecture,active
img2pptx,img2pptx,wenxuan-xie,architecture,active
aurelius,Aurelius,pmds,source,active
figma-to-astro-pipeline,Figma to Astro Pipeline,wyeworks,architecture,active
whipui,WhipUI,whipforaweeb,source,active
design-agents-flow,Design Agents Flow,charlie-ellington,architecture,active
design-harness,Design Harness,knuppe-art,architecture,active
sdd-de,SDD-DE,roy-villasana,source,active
figma-to-webflow-starter,Figma to Webflow Starter,produlis,architecture,active
vibe-design-system-starter,Vibe Design System Starter,airu,source,active
cxdesign-agents,CX Design Agents,bruno-eid,source,active
super-design-skills,Super Design Skills,nick-vyhouski,architecture,active
agent-svgtools,agent-svgtools,wyrd-company,source,active
clean-vector-reconstruction,Clean Vector Reconstruction,lixin-design,source,active
icon-design,Icon Design,kalebtec-studio,source,active
jonfermin-cadsmith,Jon Fermin cadsmith,jonathan-fermin,source,active
agentic-3d-printing,Agentic 3D Printing,eric-davis,source,active
3d-modeling-skill,3D Modeling Skill,ghsi011,source,active
slide-promax,Slide ProMax,dinh-lucent,source,active
bmad-slide-maker,BMAD Slide Maker,bmad-labs,source,active
bmad-slides-generator,BMAD Slides Generator,bmad-labs,architecture,active
simplecore-svg-diagrams,SimpleCORE SVG Diagrams,simplecore,source,active
simplecore-wireframe-boards,SimpleCORE Wireframe Boards,simplecore,source,active
simplecore-board-parity-walk,SimpleCORE Board Parity Walk,simplecore,architecture,active
text-to-cad,Text to CAD,earthtojake,source,active
image-split,Image Split,tate-zhou-siu,source,active
delements-web-stack,Delements Web Stack,delements,source,active
webstudio-mcp,Webstudio MCP,densrt,source,active
webflow-project-template,Webflow Project Template,samuel-gregory,source,active
effective-html,Effective HTML,plannotator,source,active
mengto-agent-skills,Meng To Agent Skills,meng-to,source,active
swe-atlas,SWE Atlas,syahiid-nur-kamil,source,active
intent-design,Design with Intent,ghaida-zahran,source,active
claude-design-skill-jiji,Claude Design Skill by jiji262,jiji262,source,active
power-platform-full-stack-skills,Power Platform Full Stack Skills,scott-durow,source,active
design-jarvis,Design Jarvis,renfei-design,source,active
figma2webflow-aw,Figma2Webflow-AW,khane0212,source,active
cad-coworker,CAD Coworker,karaage0703,source,active
cad-khana,CAD Khana,cyberchitta,source,active
fastbuild123d,FastBuild123d,devon-peroutky,source,active
flow-cad,Flow CAD,john-furr,source,active
freecad-modeling-skill,FreeCAD Modeling Skill,ranranjiang666,architecture,active
build123d-cad,build123d-cad,baibai2013,source,active
alice-sdf,ALICE-SDF,ext-sakamoro,source,active
plannotator,Plannotator,plannotator,source,active
design-agent-skills,Design Agent Skills,wang-yiyang,source,active
self-review,Self-Review,motiful,source,active
claw-design,Claw Design,xianshang33,source,active
manalkaff-opendesign,OpenDesign by Manal Kaff,manal-kaff,source,active
ai-design-engineer,AI Design Engineer,agenisea,architecture,active
sumi,Sumi,phazur-labs,source,active
office-design-toolkit,Office Design Toolkit,astro-alpha,architecture,active
design-eng-skills,Design Engineering Skills,farming-labs,source,active
cuellar-design-skills,Carlos Cuellar Design Skills,carlos-cuellar,architecture,active
claude-webkit,Claude Web Builder,tododeia,source,active
gstack-game,gstack-game,fagemx,source,active
shain-designer-kit,Shain Designer Kit,dmytro-shain,source,active
codex-game-studio,Codex Game Studio,jackli12,architecture,active
cad-as-code-template,CAD-as-Code Template,coffee2bits,source,active
3dmodel-skill,3dmodel Skill,fletcher-holt,architecture,active
text-to-cad-coach,Text-to-CAD Coach,jon-williams,source,active
ada-v2-nazir,ADA V2 by Nazir Louis,nazir-louis,source,active
ada-v2-syed,A.D.A by Syed Daiam,syed-daiam,source,active
opencad,OpenCAD,caid-technologies,source,active
ee-circuit-design-skills,EE Circuit Design Skills,thanabordee-nammungkhun,source,active
emdash-skills,Emdash Skills,megabyte-labs,source,active
tonone,Tonone,tonone-ai,source,active
atlas-design-ux,Atlas Design UX Team,monumental-systems,architecture,active
atlas-3d-design,Atlas 3D Design Team,monumental-systems,architecture,active
shain-design-system-skill,Shain Design System Skill,dmytro-shain,architecture,active
simcorrect,SimCorrect,caid-technologies,source,active
claude-code-game-studios,Claude Code Game Studios,donchitos,source,active
design-driven-development,Design-Driven Development,moose-design,source,active
fabricio-skills,Fabricio Telles Skills,fabricio-telles,source,active
ux-reviewer,UX Reviewer,swan-htet-aung,source,active
ios-design-agent-skill,iOS Design Agent Skill,josh-adams,source,active
s-stack,Scott's Dope Skills,scott-tolinski,source,active
ai-design-skills,AI Design Skills,supercharge-growth,source,active
ives,ives,lenxism,source,active
taste-skills,Taste-Skills,dragoon,source,active
anti-ai-design,anti-ai-design,huyhoangnhh98,source,active
better-web-ui,better-web-ui,filip-aladic,source,active
psenger-agent-skills,Philip Senger AI Agent Skills,philip-senger,source,active
abvx-agent-skills,ABVX Agent Skills,abvx,source,active
blender-mcp-vinhelysia,blender-mcp by vinhelysia,vinhelysia,source,active
opticalmodeler,OpticalModeler,k-telux,source,active
videococo,VideoCoCo,haodong-li,source,active
timecode-agent,TIMECODE-AGENT,ash-stone,source,active
bambu-studio-ai,Bambu Studio AI,yixuan-he,source,active
opentopos,OpenTopos,yipeng-gao,source,active
auteur,auteur,agi-white-list,source,active
sceneconductor,SceneConductor,jeonghwan-kim,source,active
qwen-blender,Qwen MM Plugins Blender,qwen,source,active
qwen-freecad,Qwen MM Plugins FreeCAD,qwen,source,active
qwen-video-edit,Qwen MM Plugins Video Edit,qwen,source,active
rjwalters-kicad-tools,kicad-tools by Robb Walters,robb-walters,source,active
pcb-agent-teams,PCB-Agent-Teams,zane29222,source,active
electronics-agent-kit,Electronics Agent Kit,o2scale,architecture,active
ki-stack,Ki-Stack,milind-sharma,source,active
kicad-agent-seahan,KiCad Schematic Design Skill by Seahan,han-seahan,source,active
michpro-kicad-tools,kicad-tools Agent Skill by Michal Protasowicki,michal-protasowicki,source,active
akcli,akcli,li-ching-yu,source,active
paper-to-schematic,Paper to Schematic,alan-steremberg,source,active
kicad-pcba-engineering-skills,KiCad PCBA Engineering Skills,tsukimori-dev,source,active
pcba-design-skills,PCBA Design Skills,keitark,source,active
kicad-schematic-kenchan,kicad-schematic by Ken Chan,ken-chan,source,active
kicad-cursor,kicad-cursor,elli-furedy,architecture,active
kiskill,KiSkill,avatarsd,source,active
misko-circuits,circuits by Misko,misko,source,active
mash-kicad-skills,KiCad Skills by mash,masakazu-ohtsuka,source,active
kiclaw,KiClaw,kiclaw,source,active
kicadai,KiCadAI,davin-hills,source,active
engineering-design-plugin,Engineering Design Agent Skills,straydog,source,active
markdown-exporter,Markdown Exporter,bowen-liang,source,active
brand-docs,BrandDocs,ferdinando-bonsegna,source,active
adeu,Adeu,dealfluence,source,active
kimi-office,Kimi Docs Sheets and Slides,moonshot-ai,architecture,active
video-shotcraft,Video Shotcraft,yihao,source,active
pascal-skills,Pascal Skills,pascal,source,active
ux-writing-skill,UX Writing Skill,content-designer,source,active
yuv-ai-creative-skills,YUV.AI Creative Skills,yuv-ai,source,active
stylekit,StyleKit,anx,source,active
paper2poster,Paper2Poster,paper2poster,source,active
notebooklm-py,notebooklm-py,teng-lin,source,active
dom-to-pptx,dom-to-pptx,atharva-jagtap,source,active
claude-financial-services,Claude for Financial Services,anthropic,source,active
sensenova-skills,SenseNova Skills,sensenova,source,active
kicad-mcp-pro,KiCad MCP Pro,osman-aslan,source,active
kicad-skills-ipc,KiCad Skills with IPC API,hubert-kicad,source,active
tinystudio,tinyStudio,mr-industries,source,active
zaptrace,ZapTrace,osman-aslan,source,active
kicad-copilot,KiCad Copilot,biosshot,source,active
sparkbench,SparkBench,photon-cat,source,active
unreal-agent-harness,Unreal Agent Harness,per-simmons,source,active
unreal-blender-mcp,Unreal-Blender MCP,tahooki,source,active
artclaw-bridge,ArtClaw Bridge,ivan-yang,source,active
ai-forge-mcp,AI Forge MCP,hurtz-donut,architecture,active
blender-mcp-server-namurokuro,Blender MCP Server by namurokuro,namurokuro,source,active
blender-orchestrator,Agentic Blender Orchestrator,matt-olson,source,active
blockout,Blockout,sam-wasserman,source,active
dcc-mcp-blender,DCC-MCP Blender,dcc-mcp,source,active
blender-scene-agent,Blender Scene Agent,david-rousset,source,active
rhino-mcp,RhinoMCP,reer,source,active
serpentine3d,Serpentine3D,chisomo-banzi,source,active
cr8-xyz,Cr8-xyz,thamsanqa-dreem,source,active
posecode,Posecode,posecode,source,active
jithin-blender-skill,Blender Agent Skill by Jithin Joseph,jithin-joseph,source,active
dataevolver,DataEvolver,pris-cv,source,active
adobepy,adobepy,dcc-mcp,source,active
dcc-ai-openai-image,DCC AI OpenAI Image,dcc-mcp,source,active
dcc-cua,dcc-cua,dcc-mcp,source,active
dcc-lookdev,DCC LookDev,dcc-mcp,source,active
dcc-materialx,DCC MaterialX,dcc-mcp,source,active
dcc-mcp-3dsmax,DCC-MCP 3ds Max,dcc-mcp,source,active
dcc-mcp-aftereffects,DCC-MCP After Effects,dcc-mcp,source,active
dcc-mcp-cinema4d,DCC-MCP Cinema 4D,dcc-mcp,source,active
dcc-mcp-comfyui,DCC-MCP ComfyUI,dcc-mcp,source,active
dcc-mcp-core,DCC-MCP Core,dcc-mcp,source,active
dcc-mcp-fpt,DCC-MCP Flow Production Tracking,dcc-mcp,source,active
dcc-mcp-freecad,DCC-MCP FreeCAD,dcc-mcp,source,active
dcc-mcp-godot,DCC-MCP Godot,dcc-mcp,source,active
dcc-mcp-houdini,DCC-MCP Houdini,dcc-mcp,source,active
dcc-mcp-illustrator,DCC-MCP Illustrator,dcc-mcp,source,active
dcc-mcp-mari,DCC-MCP Mari,dcc-mcp,source,active
dcc-mcp-marmoset,DCC-MCP Marmoset,dcc-mcp,source,active
dcc-mcp-maya,DCC-MCP Maya,dcc-mcp,source,active
dcc-mcp-maya-advancedskeleton,DCC-MCP Maya AdvancedSkeleton,dcc-mcp,source,active
dcc-mcp-maya-mgear,DCC-MCP Maya mGear,dcc-mcp,source,active
dcc-mcp-maya-procedural-architecture,DCC-MCP Maya Procedural Architecture,dcc-mcp,source,active
dcc-mcp-nuke,DCC-MCP Nuke,dcc-mcp,source,active
dcc-mcp-openscad,DCC-MCP OpenSCAD,dcc-mcp,source,active
dcc-mcp-openusd,DCC-MCP OpenUSD,dcc-mcp,source,active
dcc-mcp-photoshop,DCC-MCP Photoshop,dcc-mcp,source,active
dcc-mcp-renderdoc,DCC-MCP RenderDoc,dcc-mcp,source,active
dcc-mcp-substance3d-designer,DCC-MCP Substance 3D Designer,dcc-mcp,source,active
dcc-mcp-substance3d-painter,DCC-MCP Substance 3D Painter,dcc-mcp,source,active
dcc-mcp-touchdesigner,DCC-MCP TouchDesigner,dcc-mcp,source,active
dcc-mcp-tracy,DCC-MCP Tracy,dcc-mcp,source,active
dcc-mcp-unity,DCC-MCP Unity,dcc-mcp,source,active
dcc-mcp-unreal,DCC-MCP Unreal,dcc-mcp,source,active
dcc-mcp-wwise,DCC-MCP Wwise,dcc-mcp,source,active
dcc-mcp-zbrush,DCC-MCP ZBrush,dcc-mcp,source,active
dcc-pipeline-publish,DCC Pipeline Publish,dcc-mcp,source,active
dcc-texture-pipeline,DCC Texture Pipeline,dcc-mcp,source,active
dcc-ui-qt-actions,DCC-MCP Qt UI Actions,dcc-mcp,source,active
easyeda-copilot,EasyEDA Copilot,biosshot,source,active
kicad-happy,KiCad Happy,aklofas,source,active
motion-previs-studio,Motion Previs Studio,sam-wasserman,source,active
blendermcp,BlenderMCP,ahujasid,source,active
preso-ai,Preso AI,atharva-jagtap,source,active
deeppcb,DeepPCB,instadeep,architecture,active
unreal-mcp,Unreal MCP,epic-games,architecture,active
gemini-notebook,Gemini Notebook,google,architecture,active
office-raccoon,Office Raccoon,sensenova,architecture,active
circle-take,Circle Take,sam-wasserman,source,active
cork-board,Cork Board,sam-wasserman,source,active
master-canvas,Master Canvas,sam-wasserman,source,active
sam-pdf-studio,Sam PDF Studio,sam-wasserman,source,active
scriptbreak,ScriptBreak,sam-wasserman,source,active
slate,Slate,sam-wasserman,source,active
storyboard-reference-studio,Storyboard Reference Studio,sam-wasserman,source,active
unofficial-davinci-mcp,Wasserman's Unofficial DaVinci MCP,sam-wasserman,source,active
quilter,Quilter,quilter,architecture,active
seko,Seko,sensenova,architecture,active
davinci-resolve,DaVinci Resolve,blackmagic-design,architecture,active
comfyui-mcp,comfyui-mcp,artokun,source,active
figsor,Figsor,asif-kabir,source,active
trace-pcb,Trace,buildwithtrace,architecture,active
clai,Clai,eric-lee,source,active
fablecut,FableCut,ronak-parmar,source,active
code2video,Code2Video,show-lab,source,active
fluxwing-skills,Fluxwing Skills,trabian,source,active
uxscii,UXSCII,trabian,source,active
kintsugi,Kintsugi,veriteknik,source,active
cxdesigner,cxDesinger,sean-zhang,source,active
pigcasso-canvas,Pigcasso Canvas,kevin-lin,source,active
comfyui,ComfyUI,comfy-org,source,active
comfy-mcp-official,Comfy MCP,comfy-org,architecture,active
comfy-in-app-agent,Comfy In-App Agent,comfy-org,architecture,active
quiverai,QuiverAI,quiverai,architecture,active
trace-component-libraries,Trace Symbols and Footprints Libraries,buildwithtrace,architecture,active
remotion,Remotion,remotion-dev,source,active
canvoss,Canvoss,shashank-bhat,source,active
huashu-design,Huashu Design,huashu,source,active
homeverse,HomeVerse,anisha-paturi,source,active
hangover,Hangover,arnav-chhabra,source,active
cova,Cova,guizimo,source,active
logo-generator-skill,Logo Generator,guicang,source,active
remotion-prompt-to-motion-graphics,Remotion Prompt to Motion Graphics,remotion-dev,source,active
remotion-ai-video-template,Remotion AI Video Template,remotion-dev,source,active
ai-media-canvas,AI Media Canvas,tutti-os,source,active
nika-character-studio,Nika Character Studio,hi-unikitty,source,active
uix-ai-agent,UIX AI Agent,seeb4coding,source,active
rhino-grasshopper-mcp,Rhino Grasshopper MCP,dongwoo-suk,source,active
homemaker,Homemaker,bayllama,source,active
lunima,Lunima,aignermax,source,active
shape,Shape,shape,source,active
data-formulator,Data Formulator,microsoft,source,active
resume-matcher,Resume Matcher,resume-matcher,source,active
clypra,Clypra,aiera-dev,source,active
caret,Caret,caret,source,active
vextra-mcp,Vextra MCP,kcaitech,source,active
burnguard-design,BurnGuard Design,ashmoonori-afk,source,active
ai-creative-studio,AI Creative Studio,saoussen-ch,source,active
diamond-design-ai,Diamond Design AI,queue-solutions,source,active
designflow-ai,DesignFlow AI,mrsmartboy,source,active
substrata,Substrata,danieljtrujillo,source,active
ako-visual-design-agent,AKO Visual Design Agent,ako-studio,source,active
draftwalk,DraftWalk,sammsamy02,source,active
visual-agent-designer,Visual Agent Designer,zullllkar,source,active
manim-agent,Manim Explainer Agent,murtazakafka,source,active
integrated-saas-design-agent,Integrated SaaS Design Agent,ashishbishnoi18,source,active
ai-ui-generator,AI UI Generator / Design Engine,dhruv-suyal,source,active
ai-design-studio,AI Design Studio,abbinavv,source,active
ai-design-workspace-catalog,AI Design Workspace,cj1044821606-cell,source,active
designcanvas,DesignCanvas,poer2023,source,active
ux-planner,UX Planner,kyzdes,source,active
buildgraph,BuildGraph,muhamadbyaba,source,active
virtuoso-bridge-lite,Virtuoso Bridge Lite,arcadia-1,source,active
pbi-cli,pbi-cli,mina-saad,source,active
owox-model-canvas,OWOX Model Canvas,owox,source,active
autockt,AutoCkt,autockt,source,active
rtl-claw,RTL-CLAW,tongji-university,source,active
edacraft,EDACraft,ephonic,source,active
cad-gpt-cap,CAP / CAD-GPT,blueasuka,source,active
claude-eda,claude-eda,l3wi,source,active
ai-revit-family-maker,AI Revit Family Maker,blueray32,source,active
chipster,Chipster,bandung-institute-of-technology,source,active
visual-authoring,Visual Authoring,vibeworkers,source,active
neo-studio,Neo Studio V2,moodpixel,source,active
icezone-studio,IceZone Studio,icezone,source,active
qbic,QBIC,qbic,source,active
pixelruller,PixelRuller,kalotrapezis,source,active
gia-co-design,Gia-co-Design,alpha1-design,source,active
brawt,brawt,brawt,source,active
uml-tool,UML Tool,goodmorningcoffee,source,active
agent-diagram-tool,Agent Diagram Tool,thebobrovs,source,active
co-design-canvas,Co-Design Canvas,utopia5327,source,archived
boutiqaat-creative-studio,Boutiqaat Creative Studio,boutiqaat-studio,source,active
localoffice,LocalOffice,zohaib-usmani,source,active
computational-design-skills,Computational Design Skills,abhinav-bhardwaj,source,active
autodesk-platform-services-skills,Agent Skills for Autodesk Platform Services,autodesk,source,active
claude-engineering-skills,Claude Engineering Skills Library,soljourner,source,active
ams-io-agent,AMS-IO-Agent,arcadia-1,source,active
symxplorer,SymXplorer,macanalog,source,active
fpga-design-agent,FPGA Design Agent,jacobo-forero,source,active
chili-chiplets,Chili Chiplets,chili-chiplets,source,active
specula-method,Specula Method,specula,source,active
hype,Hype,lokis-minions,source,active
inlumen,inLUMEN,datapact,source,active
monogatari,Monogatari,sakalio-labs,source,active
forge-projects,Forge Projects,naphat-pound,source,active
local-design-canvas,Local Design Canvas,nguyen-yen-linh,source,active
delft-ai-toolkit,Delft AI Toolkit,pvanallen,source,archived
spicexplorer,SpiceXplorer,macanalog,source,active
specula-bos,Specula BOS,specula,architecture,active
specula-framework,SPECULA Framework,specula,source,active
specula-skill,SPECULA Skill,specula,source,active
owox-data-marts,OWOX Data Marts,owox,source,active
contextcypher,ContextCypher,threat-vector-security,source,active
writerflow,WriterFlow,pruthviraj-gavhane,source,active
markdownflows,MarkdownFlows,dotnetfactory,source,active
gitary,Gitary,peiiii,source,active
asciitecture,Asciitecture,anima-digital-solutions,source,active
ai-draw-nexus,AI Diagram Hub / AI Draw Nexus,hkxiaoyao,source,active
smart-mermaid-assistance,Smart Mermaid Assistance,daewu14,source,active
vibe-mermaid,Vibe Mermaid Editor,huang-pufan,source,active
mermaid-live-desktop,Mermaid Live Desktop,cagri-catik,source,active
architect-studio-x,Architect Studio X,balchandar,source,active
loom-architecture,Loom Architecture Weaver,flyingcat-studio,source,active
graphini,Graphini,magnova-research,source,active
drawloop-skill,drawloop-skill,sashika-suraweera,source,active
opendiagram,OpenDiagram,rupam-golui,source,active
diagram-ai,Diagram AI,mohamed-badwy,source,active
codigram,Codigram,m-ahmad-butt,source,active
ai-diagrams,AI Diagrams,kavishan-nipun,source,active
ai-diagrammer,AI Diagrammer,eric-tech,source,active
ag0-diagramming-agent,AG0 Diagramming Agent,corespeed,source,active
techdraw,TechDraw,sai-dhinakar,source,active
diagrams-bunlong,Diagrams,bunlong-heng,source,active
flowforge,FlowForge,krish-jain,source,active
sketch-chat,AI Diagram / Sketch.chat,vishal-maheshkumar,source,active
silvercraft-ai,SilverCraft AI,yathik,source,active
html-ai-diagram-editor,HTML AI Diagram Editor,pulipuli-chen,source,active
drawio-figure-replicator,Draw.io Figure Replicator,ai-jiaqian,source,active
ai-diagrams-toolkit,AI Diagrams Toolkit,jose-prieto,source,active
uml-flow,UML Flow,josa-pratama,source,active
sirelia,Sirelia,aaron-gonzalez,source,active
auricide,AuricIDE,jorg-amelunxen,source,active
author-autograph,Author,autograph,source,active
mermaidgen,MermaidGen,adimaryanto,source,active
apo,Apo,shaurya-gupta,source,active
synthezy,Synthezy,pritam,source,active
flowbase,Flowbase,rrs301,source,active
text2diagram,DiagramAI / text2diagram,ad1tyad,source,active
diagai,DiagAI,manas-more,source,active
diagramai-nihal,DiagramAI by Nihal,nihal-choutapelly,source,active
flow2go,Flow2Go,gusgoooo,source,active
drawio-codex,AI Diagram Generator / Draw.io Codex,jinseo-lee,source,active
llmo-diagram-generator,LLMO AI Diagram Architect,nova-cx23,source,active
thoth-blueprint,Thoth Blueprint,ahs12,source,active
viso-mcp,Viso MCP,fawisi,source,active
careervivid,CareerVivid,dbt-snowflake-u,source,active
architecture-drawio-automation,Architecture Draw.io Automation,debajyoti-mukhopadhyay,source,active
cloud-architecture-diagrams,Cloud Architecture Diagrams,hansraj-singh-thakur,source,active
azure-diagram-mcp-server,Azure Diagram MCP Server,jah-yee,source,active
interactive-architecture-diagrams,Interactive Architecture Diagrams,konrad-dzbik,source,active
mermaid-chart-vscode,Mermaid Chart for VS Code,mermaid,source,active
stride-gpt,STRIDE GPT,matt-adams,source,active
diagram-creator-pramit,Diagram Creator,pramit-de,source,active
ai-diagram-copilot-pranav,AI Diagram Copilot by Pranav,pranav-learner,source,active
swark,Swark,swark-io,source,active
archify,Archify,tt-a1i,source,active
product-diagram-copilot,Product Diagram Copilot,tuaran,source,active
diagram-copilot-xidoke,Diagram Copilot by xidoke,xidoke,source,active
interview-forge,InterviewForge,azaddon,source,active
note-gen,NoteGen,codexu,source,active
litho,Litho,sopaco,source,active
codewiki,CodeWiki,fsoft-ai4code,source,active
openmaic,OpenMAIC,thu-maic,source,active
chartdb,ChartDB,chartdb,source,active
codeboarding,CodeBoarding,codeboarding,source,active
bloxai,BloxAI,subhadeep-roy,source,active
dreamforge,DreamForge,notfromaustralia,source,active
live-diagramming-copilot,Live Diagramming Copilot,ben-feely,source,active
marp-slides-template,Marp Slides Template,chris-ayers,source,active
sdd-diagram-copilot,SDD Diagram Copilot,ryan-davis,source,active
agon,Agon,simon-holmes,source,active
sre-design,SRE Design,latent-sre,source,active
azure-diagram-skill,Azure Diagram Skill,sriram-sundaresan,source,active
strands-tools-diagram,Strands Agents Diagram Tool,strands-agents,source,archived
learnhouse,LearnHouse,learnhouse,source,active
builder-skills-system-architect,Builder Skills System Architect,tharun-kumar,source,active
copilot-sdd-skills,Copilot SDD Skills,maximilian-mayr,source,active
ai-factory,AI Factory,lee-to,source,active
excalidraw-plugin,Excalidraw Plugin,aryxenv,source,active
knowforge,KnowForge,khusburai28,source,active
ai-consulting-soyeon,AI Consulting Workflow,soyeon-ahn,source,active
dbx,DBX,dbx,source,active
tabularis,Tabularis,tabularisdb,source,active
mermark-editor,MerMark Editor,vesperino,source,active
grok-build,Grok Build,xai,source,active
archigen,ArchiGen,adarsh-puri,source,active
yuzudraw,YuzuDraw,almog-gavra,source,active
archie-ea,Archie,anioko,source,active
sylang-studio,Sylang Studio,balaji-boominathan,source,active
archischema,Archischema,c0st1nus,source,active
mermaid-studio-catfox,MermaidStudio by CatFoxVoyager,catfoxvoyager,source,active
rpaforge,RPAForge,vyacheslav-chelischev,source,active
lzbot-5000,LZBot 5000,chungos,source,active
codoptic,Codoptic,codoptic,source,active
unkode,Unkode,deepcodersinc,source,active
canopy,Canopy,dipesh-bhardwaj,source,active
mermaid-agent,Mermaid Agent,himanshu-gupta,source,active
cloud-visualizer-pro,Cloud Visualizer Pro,error505,source,active
foblex-flow,Foblex Flow,foblex,source,active
mermalaid,Mermalaid,dario-novoa,source,active
mermaidgenie,MermaidGenie,hoangsonww,source,active
idem,Idem,idem-ai,source,active
cloudarchgen,CloudArchGen,jai-deep,source,active
drawio-live-editor,Draw.io Live Editor,jerry-kwan,source,active
wam-studio,WAM Diagram Editor,jxuho,source,active
easy-uml,Easy UML,lilzeecn,source,active
livediagram,LiveDiagram,livediagram,source,active
mindgraph,MindGraph,wang-cunchi,source,active
bluelens,BlueLens,nathan-kamokoue,source,active
diagram-designer-jointjs,AI JointJS Diagram Editor,navidshad,source,active
threatatlas,OWASP ThreatAtlas,owasp,source,active
nuxt-ai-drawio,Nuxt AI Draw.io,ray-tien,source,active
uml-transcoder,UML Transcoder,rohan-dey,source,active
nanadraw,NanaDraw,shannon-science,source,active
dipeo,DiPeO,seunghyun-ji,source,active
genai-drawio-creator,GenAI DrawIO Creator,yujinze,source,active
turbo-ea,Turbo EA,vincent-verdet,source,active
sysvis-ai,SysVis.AI,vndangkhoa,source,active
intellidraw,IntelliDraw,wangfenghuan,source,active
mermaid-studio-workers,Mermaid Studio on Workers,wang-yaomin,source,active
werilog,Werilog,werispace,source,active
software-design-mermaid-mcp,Software Design Mermaid MCP,harry-wu,source,active
scylla-diagram-skill,ScyllaDB Diagram Skill,attila-toth,source,active
claude-cowork-office,Claude Cowork for Office,cowork-studio,source,active
archiflow,ArchiFlow,pabasara-palihena,source,active
zukai,Zukai,satoru-ogura,source,active
cloudmap,CloudMap,zeradam-fantaye,source,active
diagram-x,Diagram X,narihito,source,active
kroneditor,KronEditor,krontek,source,active
visual-diagram-editor-rzabolotin,Visual Diagram Editor by Roman Zabolotin,roman-zabolotin,source,active
agent-setup,Agent Architecture by Shivraj,shivraj10,source,active
medpaper-assistant,MedPaper Assistant,tz-ping-gau,source,active
x-fluxagent,X-FluxAgent,x-school-academy,source,active
agentgo,AgentGo,wk222,source,active
mimo-canvas,MimoCanvas,manyar-su,source,active
figs,FIGS,zhilei-zheng,source,active
open-agent-builder,Open Agent Builder,01-ai,source,active
agentflow,AgentFlow,darshit-sharma,source,active
zeronode,ZeroNode,streetcoder02,source,active
myn8n,MyN8N,ali-ameen,source,active
fluxus,Fluxus,lachpawel,source,active
vibe-automation,Vibe Automation Studio,borhomjkj0,source,active
story-blocks,Story Blocks,tarvel,source,active
webnode,WebNode Framework,lifelessa,source,active
nlj-platform,NLJ Platform,ken-alba,source,active
agentic-signal,Agentic Signal,shally-varshney,source,active
calcstack,Calcstack,calcstack,architecture,active
claudekit-marketing,ClaudeKit Marketing,claudekit-marketing,source,active
figma-weave,Figma Weave,figma,architecture,active
velocity,Velocity,optimilabs,source,active
workflowos,WorkflowOS,production-ai-institute,source,active
opencanvas-ai,OpenCanvas,opencanvas-ai,source,active
openflow-ai-studio,OpenFlow,nazih-khelifa,source,active
wzrdflow,WZRDFLOW,five-dee-studios,source,active
autogpt,AutoGPT Platform,autogpt,source,active
tooljet,ToolJet,tooljet,architecture,active
langflow,Langflow,langflow,source,active
inkeep-agents,Inkeep Agents,inkeep,source,active
firecrawl-open-agent-builder,Open Agent Builder by Firecrawl,firecrawl,source,active
rocketride,RocketRide,rocketride,source,active
