slug,product,tier,reason
backdraft,Backdraft,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
baidu-comate,Comate,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
baidu-miaoda,Miaoda,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
bambu-studio-ai,Bambu Studio AI,other,open-source physical product-loop skill with pinned source and pipeline authority
banani,Banani,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
baoyu-design,baoyu-design,other,open-source design-system agent skill with pinned source and executed tests
base44,Base44,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
bedrock-image-mcp-server,Bedrock Image MCP Server,other,"real image MCP server with typed tools and provider adapters, pinned source"
behavr,Behavr,other,hosted simulated-user usability-study product with analyzable evidence hierarchy
better-design,Better Design,other,core hosted MCP closed; only registry artifacts verifiable
better-web-ui,better-web-ui,other,real coordinated frontend skill library
bezi,Bezi,other,hosted Unity project-aware agent product with analyzable native-work contracts
bigbangdev,bigbangdev,other,open-source LangGraph production line with pinned source and event stream
bitfun,BitFun,other,open-source desktop agent with pinned source and Mini App canvas mechanism
blade,Blade,other,"real design-system MCP, Figma coverage plugin and token publishing"
blender-mcp-n8n,Blender MCP for n8n,other,Blender automation with session JSON record/replay and tool history
blender-mcp-server-namurokuro,Blender MCP Server by namurokuro,other,single-file Blender add-on with HTTP service and thread-safe queue
blender-mcp-vinhelysia,blender-mcp by vinhelysia,other,"26-tool Blender MCP bridge with verification and export, pinned source"
blender-mcp-vxai,Blender MCP VXAI,other,Blender MCP server/add-on pair with export and version-pairing contract
blender-orchestrator,Agentic Blender Orchestrator,other,pinned open-source agentic Blender spatial handler plus MCP with concrete scene-planning mechanism
blender-scene-agent,Blender Scene Agent,other,pinned open-source multi-channel agent sharing one headless Blender scene with real isolation
blendermcp,BlenderMCP,other,source-level active bridge with pinned addon+server source and real socket transport mechanism
blockout,Blockout,other,"pinned scene-blocking/camera engine with deterministic state, MCP bridge and export pipeline"
bloxai,BloxAI,other,pinned real canvas with Gemini interpretation layer inside the visual workspace
bluelens,BlueLens,other,pinned diagram workspace with CodeGraph traversal and code-drift diffs as analyzable mechanism
bluestone-ai-jewelry-prototype,BlueStone AI Jewelry Prototype,other,"thin commerce prototype with embedded credential, no production persistence and stock fallback"
bmad-slide-maker,BMAD Slide Maker,other,pinned skill with theme-token resolution and distinct editable vs image PPTX contracts
bmad-slides-generator,BMAD Slides Generator,other,real skill with defined artifact graph and browser-verification step
boardmix-ai,boardmix AI,other,established hosted infinite-canvas platform where AI output enters an editable structured artifact
bolt-new,Bolt.new,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
bolt-website-maker-jagdish,BOLT AI Website Builder by Jagdish Suthar,other,pinned frontend/backend with real WebContainer projection and Mongo state persistence
botlab-art,Botlab.art,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
boutiqaat-creative-studio,Boutiqaat Creative Studio,other,pinned orchestration of provider workflows reconciled to a Supabase ledger
brainfuel-agent-builder,Brainfuel Agent Builder,other,pinned local macOS agent IDE with SwiftData graph persistence and live execution
brand-booklet,Brand Booklet,other,pinned gated filesystem brand-production ledger with approval gates and resumable state
brand-design-skill,Brand Design Skill,other,pinned skill with gated approval and image-final artifact model
brand-docs,BrandDocs,other,pinned extract-verify-generate engine with artifact pointers and atomic publication
brand-manual-app,Brand Manual App,other,"pinned 55-module brand workspace with phase gates, BAML flows and Supabase persistence"
brawt,brawt,other,pinned Go core with protobuf operation model and MCP agent as a synchronized client
brilliant-design,Brilliant,other,hosted product with strong contracts for native vector commands and design-system source layers
brokieai,BrokieAI,other,canvas is only a deploy-time surface with split authority and unmatched backend ops
budibase,Budibase,other,"source-level open-source platform with pinned commit covering apps, automation graph and agents"
build123d-cad,build123d-cad,other,pinned multi-domain hardware skill suite with typed shared handoff protocol
buildable,Buildable,other,real local product-structure compiler and CLI
buildcad,BuildCAD,other,hosted product with agent and MCP connectors targeting one cloud model authority
builder-skills-system-architect,Builder Skills System Architect,other,pinned architecture-package protocol with Mermaid C4 and handoff chain
builderai-raj,BuilderAI by Raj Patel,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
builderio-fusion,Fusion,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
builderweb,BuilderWeb,other,pinned structured WebsiteOutput authority with lineage-aware version restore
buildev,Buildev,other,real design-as-code platform with MCP and AST
buildev-isjunrod,Buildev by Jun Rod,other,pinned canonical scene-graph model with reverse-UI and AI routes entering one artifact
buildflow3,Buildflow3,other,pinned typed GeneratedSite with transparent linear version-history state machine despite ephemeral storage
buildgraph,BuildGraph,other,pinned event-sourced engineering core with deterministic recomputation and read-only copilot
buildify-pragya,Buildify by Pragya Manna,other,thin client/backend writing generated files with no correction or persistence beyond a ZIP
buildora-ai-studio,Buildora AI Studio,other,pinned Mongo-owned artifact model consumed by editor and preview surfaces
buildrx,BuildRx,other,real multi-agent app workflow with API routes
bunyan,Bunyan,other,"hosted product with project-state contracts for plan revision, cost and export"
burhan-ai-workflow-builder,AI Workflow Builder by Burhan086,other,"real Streamlit app with pinned source, executable plan-to-DAG mechanism"
burnguard-design,BurnGuard Design,other,"real local-first harness with pinned source, prompt-builder/checkpoint/export mechanism"
bux,BUX,other,"closed Figma plugin with architecture-level evidence, functional but no source"
buzz-workspace,Buzz,other,real open-source signed Nostr workspace with pinned source and executor
buzzy,Buzzy,other,"closed hosted product, only landing/docs, implementation and contracts not disclosed"
cad-agent,CAD Agent,other,real containerized CAD engine with MCP rendering
cad-as-code-template,CAD-as-Code Template,other,规则排除
cad-cae-copilot,CAD CAE Copilot,other,pinned schemas and proposal/approval/evidence package contract mechanism
cad-coworker,CAD Coworker,other,real open-source parametric workbench with pinned source and export path
cad-gpt-cap,CAP / CAD-GPT,other,pinned gen-logic-as-editable-source mechanism despite incomplete refactor
cad-khana,CAD Khana,other,real build123d workbench with assertions and pinned evidence chain
cad-solver,CAD Solver,other,real BRep kernel with MCP and robustness harness
cadcursor,CadCursor,other,hosted product with strong 4-layer architecture contracts and live beta
caddesigner,CADDesigner,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
cadens,Cadens,other,"architecture contract only, no traceable executable source, roadmap"
cadgenbench,CADGenBench,other,规则排除
cadsmith,CADSmith,other,real pinned pipeline with nested numerical/visual repair loops
cae-agent-hub,CAE Agent Hub,other,real MCP solver adapters skills and result viewer
calcstack,Calcstack,other,active hosted five-editor suite with analyzable project contracts despite closed implementation
calicat,Calicat,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
calino,Calino,other,closed Figma plugin with architecture-level evidence and no source
caliper,Caliper,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
candor,Candor,other,"closed Figma plugin, distinctive critic-synthesis mechanism but no source"
canopy,Canopy,other,source-level pinned MCP render bridge with analyzable deterministic render mechanism
canva-magic-design,Canva Magic Design,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
canvas-ai-migrations,Canvas AI Migrations,other,"real autonomous migration system with pinned source, agents, tests"
canvas-ai-page-context-generation,Canvas AI Page Context Generation Skill,other,pinned skill extracting Drupal Canvas design context into guideline contracts
canvas-copilot-penpot,Canvas Copilot for Penpot,other,real open-source plugin with working build and explicit approval protocol
canvoss,Canvoss,other,real embeddable infra with pinned LayoutDocument/Operation reducer and agent loop
capcut,CapCut,other,established hosted video editor where AI drafting feeds an editable project with strong contracts
careervivid,CareerVivid,other,real pinned native-Excalidraw generation-to-editing mechanism
caret,Caret,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
cc-design,cc-design,other,"real cross-agent design-build skill with verification, source-level evidence"
chartdb,ChartDB,other,source-level open-source ERD with pinned commit and cross-dialect translation mechanism
chatbotx,ChatbotX,other,real open-source visual flow platform with pinned source and runtime
chatdev,ChatDev 2.0 and DevAll,other,"real open-source ChatDev2.0 workbench with YAML/graph runtime, pinned source"
chili-chiplets,Chili Chiplets,other,real streamlit CNN-thermal tool with pinned source and physics comparison
chilldeck,ChillDeck,other,real multi-agent deck app with pinned source and editor store
chip,CHIP,other,"working interaction prototype but parity data explicitly synthetic, not deployed"
chipster,Chipster,other,"real RTL-to-GDSII generation with Icarus/OpenLane evidence, pinned source"
chordio-px-bench,Chordio / PX-bench,other,规则排除
cicada,CICADA,other,real source-level CodeCAD agent with pinned geometry-snapshot/visual-feedback mechanisms
circle-take,Circle Take,other,pinned OSS filmmaker workspace; concrete quality-gate/promotion-state mechanism distinct from creative judgment
circuit-weaver,Circuit Weaver,other,"real KiCad design IR, dispatcher, capability registry and export"
clai,Clai,other,pinned OSS prompt-to-product workspace; concrete staged pipeline with editable dieline/packaging and versioned project store
claraverse,ClaraVerse,other,pinned OSS private AI workspace; concrete crews with human review and distinct workflow/artifact surfaces
claude-code-design,claude-code-design,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
claude-code-game-studios,Claude Code Game Studios,other,pinned OSS role-separated game studio; concrete skills/agents/hooks and quality gates
claude-code-video-toolkit,Claude Code Video Toolkit,other,pinned OSS video toolkit; concrete project-as-edit-model with Remotion composition and sync timing
claude-code-workflows,OneRedOak Claude Code Workflows,other,concrete design-review workflow driving Playwright MCP with reproducible slash command
claude-cowork-office,Claude Cowork for Office,other,pinned OSS plan-driven agent; concrete multi-tool ReAct loop producing compound document artifacts
claude-design-auditor-skill,Claude Design Auditor Skill,other,规则排除
claude-design-skill-jiji,Claude Design Skill by jiji262,other,pinned portable skill with executable HTML shell and prototype contract
claude-design-system-prompt,Claude Design System Prompt,other,prompt/skill package only; portable behavior layer with no runtime or executable implementation
claude-eda,claude-eda,other,pinned OSS KiCad operating contract; concrete scaffold + KiCad MCP write bridge and constraints
claude-engineering-skills,Claude Engineering Skills Library,other,pinned engineering toolkit composing databases and solver integrations
claude-figma-kit,Claude Figma Kit,other,"pinned OSS Figma plugin; concrete brief-gated construction with review commands, though leaning on external deps"
claude-financial-services,Claude for Financial Services,other,official Anthropic vertical distribution; concrete agent.yaml-bound analyst workflows producing governed decks/PPTX
claude-talk-to-figma-arinspunk,AI Agents Talk to Figma MCP,other,pinned OSS MCP server + Figma plugin; concrete typed command relay with queued requests
claude-terminal,Claude Terminal,other,"real desktop app with isolated HTML preview protocol and web-app MCP tools, pinned source"
claude-to-print,Claude-To-Print,other,pinned OSS parametric CAD derivative; concrete build123d source + multi-color 3MF export mechanism
claude-webkit,Claude Web Builder,other,pinned curated site-builder journey with concrete intake and browser QA
claude2figma,Claude2Figma,other,pinned OSS control layer; concrete preflight registries and library-first component rules over Figma bridge
claudekit-marketing,ClaudeKit Marketing,other,pinned OSS production-line kit; concrete filesystem governance with design tokens and composing skills
claudesign,Claudesign,other,pinned DESIGN.md orchestration toolkit with lint/diff/export scripts
claw-design,Claw Design,other,pinned skill with machine-readable artifact contract and validation scripts
clawphd,ClawPhD,other,pinned OSS research-visualizer agent; concrete human-in-loop figure extraction preserving native formats
clean-vector-reconstruction,Clean Vector Reconstruction,other,pinned OSS SVG-rebuild skill; concrete ranked-structure mechanism with boundary comparison and bounded correction
clearly,Clearly,other,"hosted closed product with strong contracts; live MCP catalog, CLI distribution and distinctive versioned Composition/4-authority model"
cli-anything,CLI-Anything,other,pinned OSS harness framework; concrete reversible state/undo/redo preview-bundle mechanism across FreeCAD/GIMP et al
clientsight-gazebuilder,ClientSight / GazeBuilder,other,pinned OSS gaze-authoring app; concrete gaze-dwell change signal fed into source-centered generation/persistence
cloud-architecture-diagrams,Cloud Architecture Diagrams,other,"real skill with JSON spec schema, serializers to draw.io/Excalidraw and tests"
cloud-visualizer-pro,Cloud Visualizer Pro,other,pinned OSS Azure graph workspace; concrete grounded React Flow topology distinct from IaC materialization
cloudarchgen,CloudArchGen,other,pinned OSS full-stack cloud architecture workspace; concrete provider-neutral editable graph with import/analysis/persistence
cloudflare-vibesdk,Cloudflare VibeSDK,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
cloudmap,CloudMap,other,pinned OSS AWS architecture designer; concrete graph-as-state with NL intent parsing and CDK output despite some disabled paths
clypra,Clypra,other,pinned OSS open-core editor; concrete wired local Whisper-to-caption-clips timeline loop
co-design-canvas,Co-Design Canvas,other,archived historical prototype with stale stack; analyzable canvas+ComfyUI inpaint mechanism but thin/unmaintained
cobra-ai-2,Cobra AI 2.0,other,pinned OSS single-JSX site loop; concrete Mongo-code persistence with WebContainer recreate mechanism
code-inspector,Code Inspector,other,source-level MIT tooling with pinned v2.0.7 and concrete compile-time DOM-to-source mechanism
code2video,Code2Video,other,pinned OSS educational-video pipeline; concrete executable Manim source loop with scoped critic repairs
codeboarding,CodeBoarding,other,pinned open source with concrete analysis-JSON join and incremental rebuild mechanism
codecanvas-ai,CodeCanvas AI,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
codeck,Codeck,other,pinned native macOS editor with MCP server and real deck-as-source mechanism
codecooks,CodeCooks,other,"historical open source with stale 2024 cutoff, two unconnected surfaces, no live product"
codejet,Codejet,other,"closed commercial product, architecture-level docs only, no source-traceable mechanism"
coderocket,CodeRocket,other,"pinned open source with real versioned-artifact, build and deployment-promotion mechanism"
coderx,CoderX,other,pinned open source with concrete artifact-tag-to-WebContainer side-effect mechanism
codeui-paurakh,CODEUI,other,pinned open source with real project/checkpoint and convergent correction mechanism
codewiki,CodeWiki,other,"pinned open source with recursive analysis, Mermaid repair and MCP mechanism"
codex-game-studio,Codex Game Studio,other,"derivative SKILL workflow pack, thin text-only mechanism, explicitly derivative"
codex-slides,Codex Slides,other,"pinned open source with real project record, pipeline, immutable versions and MCP mechanism"
codey,Codey,other,pinned open source with real agent-network mutating E2B sandbox and fragment persistence
codia,Codia,other,"closed commercial product, proprietary schema, architecture-level docs, no source"
codigram,Codigram,other,pinned open source with real Gemini JSON-gate to object-graph and deterministic codegen
codoptic,Codoptic,other,source-level open-source DSL/graph/agent workspace with pinned evidence and approval flow
cofounder,Cofounder,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
comfy-in-app-agent,Comfy In-App Agent,other,"private-alpha feature documented in docs only, no implementation evidence or analyzable mechanism"
comfy-mcp-official,Comfy MCP,other,first-party Comfy product with pinned local MCP source and strong cloud tool contracts
comfyui,ComfyUI,other,major open-source executable node-graph host with pinned source and analyzable execution
comfyui-easy-color-corrector,ComfyUI EasyColorCorrector,other,source-level pinned ComfyUI extension with analyzable color-correction node mechanism
comfyui-mcp,comfyui-mcp,other,source-level pinned local-first control plane with target-guard and workflow-executor mechanism
comfyui-workflow-studio,ComfyUI Workflow Studio,other,"pinned plugin with real graph exchange, PNG provenance and local-model tool mechanism"
comp-gen-aditya,Comp-gen by Aditya Singh Gautam,other,"pinned open source with concrete component generation, session and property-edit mechanism"
competition-ppt-template,Competition PPT Template-First,other,规则排除
composeflow,ComposeFlow,other,pinned open source with real YAML project-graph authority and codegen-from-graph mechanism
computational-design-skills,Computational Design Skills,other,pinned design toolkit with inspectable Python calculators
consulting-deck,Consulting Deck,other,pinned reproducible skill pipeline with evidence ledger and QA records
contentkit,ContentKit,other,"closed plugin, algorithm well-documented but closed implementation, architecture-level only"
contextcypher,ContextCypher,other,"pinned open source with real graph merge, import parsers and local-Ollama mechanism"
contextui,ContextUI,other,working Electron host and MCP with source-level evidence
convertix-ai,Convertix AI,other,pinned open source with real template-graph authority and publish snapshot mechanism
convey,Convey,other,source-level pinned MIT relay with concrete MCP evidence contract and mechanism
copilot-sdd-skills,Copilot SDD Skills,other,pinned chain of versionable artifact templates with Mermaid embedded
copy-design-cli,Copy Design CLI,other,pinned CLI with concrete screenshot-to-DESIGN.md inference and preview mechanism
cordyceps,Cordyceps,other,"real MCP Grasshopper bridge with source, snapshot store and tests"
cork-board,Cork Board,other,working app with graph state and a first-class writable MCP interface over project JSON
cova,Cova,other,pinned open source with real bounded config-object AI merge and undo mechanism
cr8-xyz,Cr8-xyz,other,pinned platform with real Blender-based CGI engine and WebRTC pixel-stream mechanism
crafter,Crafter,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
craftflow,CraftFlow,other,early prototype with workable HTML publish loop but several editor controls are fake demo UI
creai,CreAI,other,"pinned source, real structured generation envelope as model contract"
creative-forge,Creative Forge,other,pinned derivative canvas with reusable templates and persistence
crimetryx-ai,CRIMETRYX AI,other,pinned forensic workspace with case-grounded multi-agent loop
css-studio,CSS Studio,other,closed architecture-level product with issues-only repo and no usable implementation contracts to analyze
ctx-space,Context Space,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
cuellar-design-skills,Carlos Cuellar Design Skills,other,architecture-level method/template library with no independent runtime
curate,Curate,other,pinned builder writing Vite project dir as authoritative artifact
cursor,Cursor,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
cxdesign-agents,CX Design Agents,other,runnable MCP server with phase-gate orchestration and memory
cxdesigner,cxDesinger,other,pinned Electron studio with page-level project-data mechanism
cyclecad,cycleCAD,other,"real browser CAD with OpenCascade, CLI/MCP planefaces and IndexedDB persistence, pinned source"
d2-canvas,D2 Canvas,other,working editor with D2 parse/codegen and a real HTTP/WebSocket agent mutation surface
d2c,d2c,other,pinned Figma-to-code bridge with token contract and audits
dafty,Dafty,other,real hosted brand-extraction campaign workspace with running app studio and analyzable mechanism
dart-design-agent,Dart AI Design Agent,other,closed product with only landing pages and no implementation evidence
data-formulator,Data Formulator,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
dataevolver,DataEvolver,other,pinned render-review-repair loop with bounded action space
datengcad,大腾智能 CAD,other,"commercial CAD product but architecture-level evidence only, no source"
davinci-resolve,DaVinci Resolve,other,established native media platform whose AI tools operate inside editable native workspaces
dawn-design,Dawn,other,real product contract grounding generation in research and design-system evidence with MCP handoff
dbx,DBX,other,source-level multi-database workspace with pinned commit and policy-gated SQL execution
dcc-ai-openai-image,DCC AI OpenAI Image,other,pinned skill with real material handoff contract
dcc-cua,dcc-cua,other,source-level pinned standalone CU runtime with concrete observation/action verification boundary
dcc-lookdev,DCC LookDev,other,real lookdev-turntable skill contract with typed tools and acceptance evidence
dcc-materialx,DCC MaterialX,other,real MaterialX lookdev skill scripts validated from source
dcc-mcp-3dsmax,DCC-MCP 3ds Max,other,source-level pinned host adapter with typed skills and real mechanism
dcc-mcp-aftereffects,DCC-MCP After Effects,other,source-level pinned adapter with concrete project-layer-render loop mechanism
dcc-mcp-blender,DCC-MCP Blender,other,source-level pinned host adapter with typed capabilities and real mechanism
dcc-mcp-cinema4d,DCC-MCP Cinema 4D,other,source-level pinned adapter with concrete atomic native-document promotion mechanism
dcc-mcp-comfyui,DCC-MCP ComfyUI,other,source-level pinned adapter with real validate-submit-correlate job mechanism
dcc-mcp-core,DCC-MCP Core,other,source-level pinned control plane with concrete gateway capability and policy mechanism
dcc-mcp-fpt,DCC-MCP Flow Production Tracking,other,source-level pinned production adapter with concrete CRUD/note review mechanism
dcc-mcp-freecad,DCC-MCP FreeCAD,other,source-level pinned CAD adapter with explicit recompute-validation mechanism
dcc-mcp-godot,DCC-MCP Godot,other,source-level pinned editor plugin with concrete main-thread dispatch and typed tools
dcc-mcp-houdini,DCC-MCP Houdini,other,source-level pinned adapter with inspectable node-graph authority mechanism
dcc-mcp-illustrator,DCC-MCP Illustrator,other,source-level pinned adapter with session-scoped vector-official-DOM mechanism
dcc-mcp-mari,DCC-MCP Mari,other,source-level pinned adapter with concrete GUI-thread plugin and sidecar mechanism
dcc-mcp-marmoset,DCC-MCP Marmoset,other,source-level pinned adapter with concrete showcase acceptance and render job mechanism
dcc-mcp-maya,DCC-MCP Maya,other,source-level pinned broad host adapter with concrete dispatcher and job-state mechanism
dcc-mcp-maya-advancedskeleton,DCC-MCP Maya AdvancedSkeleton,other,source-level pinned skill package with concrete FitSkeleton build/rebuild loop
dcc-mcp-maya-mgear,DCC-MCP Maya mGear,other,source-level pinned skill package with concrete guide-authority build/export mechanism
dcc-mcp-maya-procedural-architecture,DCC-MCP Maya Procedural Architecture,other,"pinned source, real Bifrost procedural-generation skill with seeded variation and material separation"
dcc-mcp-nuke,DCC-MCP Nuke,other,"pinned source, layered-compositing skill with Cryptomatte scoping and gizmo governance loop"
dcc-mcp-openscad,DCC-MCP OpenSCAD,other,"pinned source, real parameter-safety adapter with bounded render/export and file-hash linkage"
dcc-mcp-openusd,DCC-MCP OpenUSD,other,"pinned source, headless USD authoring/validation with explicit mode-dependent capability degradation"
dcc-mcp-photoshop,DCC-MCP Photoshop,other,"pinned source, typed Photoshop adapter over adobepy/UXP preserving editable layer graph"
dcc-mcp-renderdoc,DCC-MCP RenderDoc,other,"pinned source, real capture-to-evidence adapter via official Target Control API"
dcc-mcp-substance3d-designer,DCC-MCP Substance 3D Designer,other,real but very narrow single material-pass mechanism with small tool count
dcc-mcp-substance3d-painter,DCC-MCP Substance 3D Painter,other,"pinned source, genuine material-authoring pass mutating native layer stack"
dcc-mcp-touchdesigner,DCC-MCP TouchDesigner,other,"pinned source, real host-thread dispatcher with typed ops and viewport capture"
dcc-mcp-tracy,DCC-MCP Tracy,other,"pinned source, real performance-evidence product with capture and CSV-summary analysis"
dcc-mcp-unity,DCC-MCP Unity,other,"pinned source, UPM package with two distinct mutation safety contracts and job semantics"
dcc-mcp-unreal,DCC-MCP Unreal,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
dcc-mcp-wwise,DCC-MCP Wwise,other,"pinned source, real WAAPI adapter authoring audio graph with SoundBank delivery"
dcc-mcp-zbrush,DCC-MCP ZBrush,other,"pinned source, operational adapter with busy-state recovery and subtool mutation mechanism"
dcc-pipeline-publish,DCC Pipeline Publish,other,"four real skill scripts with hashing, packaging and acceptance mechanisms"
dcc-texture-pipeline,DCC Texture Pipeline,other,real skills with pinned conversion/texture scripts
dcc-ui-qt-actions,DCC-MCP Qt UI Actions,other,"pinned source, real selector-bound mutation layer with widget-capture return evidence"
decibel-designer,Decibel Designer,other,real MCP design-memory with fs and figma stores
deckestra,Deckestra,other,pinned presentation skill with deterministic layout and privacy/provenance gates
deckscript,DeckScript,other,hosted product but architecture-level evidence from website only
deepdiagram,DeepDiagram,other,pinned multi-agent visualization workspace with agent-specific renderers
deeppcb,DeepPCB,other,"hosted product but architecture-level evidence, no source contracts"
deepsite,DeepSite,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
delements-web-stack,Delements Web Stack,other,template/coordination workspace over external hosts; mechanism thin but analyzable
delft-ai-toolkit,Delft AI Toolkit,other,pinned distinctive behavior-graph driving both sim and hardware
dembrandt,Dembrandt,other,"real MCP server, extractors, drift computation, DTCG formatter and tests"
design-agent-skills,Design Agent Skills,other,pinned yy-design workflow with visual-system decision and verify scripts
design-agents-flow,Design Agents Flow,other,prompt/method release at architecture-level with thin implementation
design-audit-lens,Design Audit Lens,other,规则排除
design-canvas,Design Canvas,other,working human-agent editor mutating shared scene graph with verifiable source
design-dna,Design DNA,other,pinned schema-driven style extraction with JSON authority
design-driven-development,Design-Driven Development,other,pinned plugin with role agents and Figma-native authority
design-eng-skills,Design Engineering Skills,other,pinned Codex skill with design-audit script and browser evidence loop
design-farmer,Design Farmer,other,pinned staged design-system skill with DESIGN.md authority
design-for-ai,design-for-ai,other,pinned plugin with concrete aesthetic-sampling and detection scripts
design-harness,Design Harness,other,pinned three-artifact spec contract with machine-checkable schemas
design-jarvis,Design Jarvis,other,pinned VS Code design team with memory and review gates
design-md-agent-skill,design.md Agent Skill,other,pinned dependency-free skill plus Python scripts executing DESIGN.md lifecycle
design-md-chrome,TypeUI DESIGN.md Extractor,other,real shipped chrome extension with generators
design-md-extractor,DESIGN.md Extractor,other,"real extraction tool with pinned source, CLI/MCP surfaces and concrete evidence bundles"
design-md-generator,DESIGN.md Generator,other,real crawler/analyzer-to-DESIGN.md pipeline with source-level evidence
design-mode-extension,Design Mode,other,"pinned source, reversible change-queue extension with selector-stamped runtime mutations and MCP handoff"
design-os,Design OS,other,pinned gated workflow with run-state schema and CLI enforcing phase contracts
design-ruler,Design Ruler,other,"pinned source, real measurement-first verification with dual Playwright/CDP engine contract"
design-system-agents,AI Design System Agents,other,pinned end-to-end transformation workspace with validated routes
design-system-builder,Design System Builder,other,pinned ordered design-system skill producing coordinated artifacts
design-system-docs-generator,Design System Docs Generator,other,"small Figma plugin, architecture-level evidence with no source"
design-system-extraction,Design System Extraction Skill,other,pinned skill routing design inputs into token/handoff outputs with concrete contract
design-system-extractor-skill,Design System Extractor Skill,other,pinned source with validator and preview-renderer scripts and worked example
design-system-inspection-kit,Design System Multi-Point Inspection Kit,other,规则排除
design-system-sync,Design System Sync,other,"closed Figma plugin, architecture-level evidence with no pinned source"
designcanvas,DesignCanvas,other,"pinned source-level Electron/tldraw workspace with explicit graph compiler, SQLite version clocks and real provider adapters"
designflow,DesignFlow,other,working AI vector editor with real AI generation and source-level evidence
designflow-ai,DesignFlow AI,other,pinned source-level Figma-like editor where AI output becomes native Redux graph objects with handoff generation
designforge-ai,DesignForge AI,other,pinned source-level component registry with real Anthropic candidate-and-promotion workflow and mock provenance
designmd,DESIGNmd,other,closed product with unreachable repo and no source evidence
designmd-canvas,DESIGN.md Canvas,other,"real Copilot CLI canvas with parser, renderer and persistence scopes at source level"
designmd-maker-jp,DESIGN.md Maker JP,other,real hosted tool with concrete candidate-promotion mechanism producing a portable DESIGN.md
designpowers,Designpowers,other,pinned source-level multi-agent design process with shared design-state memory and traced run
designpro,Design Pro,other,"pinned single-file but fully functional editor with layer model, undo/redo and real AI plan-to-action"
deskhand,Deskhand,other,"pinned desktop agent with real artifact event model, per-format previews and JSONL session persistence"
despy,Despy,other,pinned governed eval platform applying SEARCH/REPLACE patches through shared WebContainer write path
deterministic-ai-ui-builder-codeacks,Deterministic AI UI Builder by codeacks,other,pinned deterministic planner/generator/renderer with versioned UIPlan authority
deterministic-ai-ui-builder-ujjwal,Deterministic AI UI Builder by ujjwal1541,other,pinned bounded-vocabulary schema UI builder with Supabase version persistence
devin,Devin,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
devoraui,DevoraUI,other,pinned BYOK component generation to Mongo records to npm package publish path
devpilot,DevPilot,depth,规则: v2≥8.5 或 H1 商业产品 v2≥7.5
diagai,DiagAI,other,real deterministic diagram parser plus React Flow editor
diagram,Diagram,other,historical closed-source product line retired at 2023 Figma acquisition with distinctive mechanism but no usable contracts today
diagram-ai,Diagram AI,other,pinned dual-representation diagram pipeline with RAG retrieval and real provider fallback
diagram-copilot-xidoke,Diagram Copilot by xidoke,other,"pinned DSL-first architecture with Langium parsing, ELK layout and approval surface"
diagram-creator-pramit,Diagram Creator,other,pinned compact agent-to-deliverable pipeline emitting native editable draw.io files
diagram-design,Diagram Design,other,pinned skill with typed diagram-family reference library and draw.io extraction helper
diagram-designer-jointjs,AI JointJS Diagram Editor,other,pinned JointJS JSON graph editor with GPT graph mutation and iframe embed contract
diagram-x,Diagram X,other,pinned managed node workspace with typed diagram objects and AI graph materialization
diagramai-nihal,DiagramAI by Nihal,other,incomplete pinned source assembly missing referenced modules; legal D2 structured-generation mechanism only
diagrams-bunlong,Diagrams,other,pinned publishing product with Mermaid source authority and owned deterministic SVG renderer
diamond-design-ai,Diamond Design AI,other,pinned versioned visual-concept workspace with Replicate generation and edit lineage
dipeo,DiPeO,other,pinned executable-diagram runtime where YAML graph instantiates agents with GraphQL/MCP edges
director,director,other,"pinned local-first production system with storyboard validation, approval gate and manifest"
disenia,DisenIA,other,"architecture-level hosted product with capability text only, no published schema or usable contracts"
djasha-system,Djasha System,other,published design system with source bundle and MCP
dmaya,dMaya,other,live hosted multi-screen canvas with model-router and edit/refine loop giving concrete analyzable mechanism
dograh,Dograh,other,pinned voice-agent visual graph with turn-replay testing and MCP draft surface
